#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;Un 'domaine' est l'ensemble des Châteaux, Cités et Temples possédé par une personne.;Ein 'Herrschaftsgebiet' ist die Ansammlung von Burgen, Städten und Tempeln, die einer Person gehören.;;Una «heredad» es un conjunto de Castillos, Villas y Templos pertenecientes a una persona.;;;;;;;;;x
LOADING_TIP_12;Hold down the middle mouse button to pan around the map.;Maintenez le bouton central de la souris pour afficher un panoramique de la carte.;Mit der mittleren Maustaste könnt Ihr den Kamerawinkel der Karte ändern.;;Mantén pulsado el botón central del ratón para desplazarte por el mapa.;;;;;;;;;x
LOADING_TIP_13;Right-click a received message to change its priority or appearance.;Cliquez avec le bouton droit de la souris sur un message reçu pour modifier sa priorité ou son apparence.;Rechtsklickt auf die erhaltene Botschaft und ändert ihre Priorität oder ihre Erscheinung.;;Haz clic con el botón derecho en un mensaje recibido para cambiar su prioridad o apariencia.;;;;;;;;;x
LOADING_TIP_14;If you have free investiture, the Pope may ask you to change it.;En cas d’investiture libre, le Pape peut vous demander de changer cette loi.;Wenn Ihr freie Investitur habt, könnte Euch der Papst auffordern, dies zu ändern.;;Si aplicas la ley de libre investidura, el Papa puede pedirte que la cambies.;;;;;;;;;x
LOADING_TIP_15;Do not upset the Pope, he may have you excommunicated.;Ne contrariez pas le Pape sous peine d’excommunication.;Verärgert den Papst nicht, denn er könnte Euch exkommunizieren.;;No enfades al Papa, puede hacer que te excomulguen.;;;;;;;;;x
LOADING_TIP_16;If you are childless and old, your family members may demand your titles.;Si vous êtes sans enfant ou âgé, les membres de votre famille peuvent exiger vos titres.;Wenn Ihr kinderlos und alt seid, könnten Eure Familienmitglieder Eure Titel fordern.;;Si no tienes descendencia y eres anciano, puede que los miembros de tu familia te pidan los títulos.;;;;;;;;;x
LOADING_TIP_17;Press F10 to save a snapshot of the mapmode you currently have selected.;Appuyez sur F10 pour sauvegarder la capture d'écran de la carte que vous avez sélectionnée.;Drückt F10, um ein Bildschirmfoto des Kartenmodus zu machen, den ihr momentan ausgewählt habt. ;;Pulsa F10 para guardar una captura del modo de mapa actualmente seleccionado.;;;;;;;;;x
LOADING_TIP_18;The more the Authority of a religion is eroded, the more susceptible it is to heresy.;Plus l’autorité d’une religion est fragile, plus elle est encline à l’hérésie.;Je mehr die Autorität einer Religion nachlässt, desto anfälliger wird sie für Ketzerei.;;Cuanto más erosionada la autoridad de una religión, más propensos serán sus miembros a la herejía.;;;;;;;;;x
LOADING_TIP_19;Press F11 to save a screenshot of the game.;Appuyez sur F11 pour sauvegarder une capture d'écran du jeu.;Drückt F11, um einen Screenshot vom Spiel zu sichern. ;;Pulsa F11 para guardar una captura de pantalla del juego.;;;;;;;;;x
LOADING_TIP_20;Children are born with a fraction of their parents' dynasties' total Prestige.;Les enfants naissent avec une fraction du Prestige total des dynasties de leurs parents.;Kinder werden mit einem Teil des Ansehens ihrer elterlichen Dynastie geboren.;;Los niños nacen con una parte del prestigio de las dinastías de sus progenitores.;;;;;;;;;x
LOADING_TIP_21;Enatic Succession means only females can inherit.;La succession agnatique signifie que seuls les hommes peuvent hériter.;Väterliche Thronfolge bedeutet, dass nur Männer erben können.;;La sucesión agnaticia significa que solo los varones pueden heredar.;;;;;;;;;x
LOADING_TIP_22;Enatic-Cognatic (a.k.a. Female Preference) Succession means males can inherit only if there are no valid females.;La succession agnatico-cognatique (c.-à-d. Préférence masculine) signifie que les femmes ne peuvent hériter que s'il n'y a pas d'hommes valides.;Die Väterlich-Mütterliche Thronfolge  (auch Männlicher Vorzug genannt) bedeutet, dass Frauen nur dann erben können, wenn kein legitimer männlicher Nachkomme vorhanden ist. ;;La sucesión agnaticia-cognaticia (preferencia masculina) significa que las mujeres pueden heredar solo en caso de ausencia de varón.;;;;;;;;;x
LOADING_TIP_23;Buy an Ursuline Indulgence to gain more Piety.;Achetez une indulgence papale pour gagner plus de Piété.;Erwerbt einen päpstlichen Ablass, um die Frömmigkeit zu erhöhen.;;Comprar una Indulgencia Papal para ganar Piedad.;;;;;;;;;x
LOADING_TIP_24;You gain more Prestige in battle as an ally than as a primary participant.;Vous gagnez plus de prestige au cours d'une bataille en tant qu'allié qu'en tant qu'instigateur.;Verbündete können in einer Schlacht mehr Prestige gewinnen als Haupt-Akteure;;Ganas más Prestigio en batalla como aliado que como participante primario.;;;;;;;;;x
LOADING_TIP_25;Hold down shift while giving orders to a unit to create a custom path.;Maintenez la touche Maj. appuyée lorsque vous donnez des ordres à une unité pour créer un parcours personnalisé.;Shift bei der Erteilung eines Truppenbefehls gedrückt halten, um einen angepassten Pfad zu erstellen;;Mantén pulsada la tecla Shift al dar órdenes a una unidad para crear una ruta personalizada.;;;;;;;;;x
LOADING_TIP_26;Under Gavelkind Succession Law, you suffer no Prestige penalty for having unlanded sons.;Avec la loi de succession basée sur le Partage Salique, vous ne subissez aucune pénalité de prestige lorsque vous avez des fils sans terres.;Unter dem Nachfolgegesetz Gavelkind erleidet Ihr durch landlose Söhne keine Prestigeverluste.;;Merced a la Ley de Sucesión equitativa, no pierdes prestigio por tener hijos sin tierras.;;;;;;;;;x
LOADING_TIP_27;Gavelkind Succession Law allows you to have a larger demesne.;La loi du Partage Salique vous permet d’avoir un Domaine plus grand.;Das Nachfolgegesetz Gavelkind gestattet Euch keine größere Domäne.;;La Ley de Sucesión equitativa iguales te permite poseer una heredad mayor.;;;;;;;;;x
LOADING_TIP_28;Employed Holy Orders cost no maintenance when you are defending against heretics or infidels.;Aucun frais d’entretien ne s’applique aux ordres sacrés employés lorsque vous vous défendez face à des hérétiques ou à des infidèles.;Glaubensorden in Euren Diensten kosten Euch keinen Unterhalt, wenn Ihr gegen Ketzer oder Ungläubige verteidigt.;;Las Órdenes Militares contratadas no te cuestan dinero cuando te defiendes contra herejes o infieles.;;;;;;;;;x
LOADING_TIP_29;Your councillors cannot both lead troops and perform missions in counties.;Vos conseillers ne peuvent pas à la fois mener des troupes et effectuer leurs missions dans les comtés.;Eure Räte können nicht gleichzeitig Truppen befehligen und Aufträge in Grafschaften ausführen.;;Tus consejeros no pueden liderar tropas y realizar misiones en condados.;;;;;;;;;x
LOADING_TIP_30;The rest of the world is rebuilding, too - beware what might come across the sea...;Attention aux hordes...;Hütet Euch vor den Horden ...;;Cuidado con las hordas...;;;;;;;;;x
LOADING_TIP_31;Sometimes the most skilled Councillor is also an enemy. Tread carefully.;Parfois, le plus talentueux des conseillers est aussi un ennemi. Prudence !;Manchmal ist der fähigste Berater auch ein Feind. Handelt mit Vorsicht.;;A veces el consejero más capaz es también un enemigo. Ve con cuidado.;;;;;;;;;x
LOADING_TIP_32;You'll have better results plotting against your liege if you are the Spymaster.;En cas de complot contre votre suzerain, vous obtiendrez de meilleurs résultats si vous êtes le Maître-Espion.;Seid Ihr der Agentenführer, so haben Eure Verschwörungen gegen Euren Lehnsherrn bessere Erfolgschancen.;;Lograrás mejores resultados conspirando contra tu señor si eres el Jefe de espías.;;;;;;;;;x
LOADING_TIP_33;All your children will get claims on your titles.;Tous vos enfants revendiqueront vos titres.;All Eure Kinder erhalten Ansprüche auf Eure Titel.;;Todos tus hijos tendrán reclamaciones sobre tus títulos.;;;;;;;;;x
LOADING_TIP_34;Delegate. A smaller group of direct vassals is easier to control.;Déléguez. Un petit groupe de vassaux directs est plus facile à contrôler.;Delegieren. Eine kleinere Gruppe direkter Vasallen ist einfacher zu kontrollieren.;;Delega. Un grupo más pequeño de vasallos directos es más fácil de controlar.;;;;;;;;;x
LOADING_TIP_35;Allies might refuse to participate in a war against someone they like more than you.;Vos alliés risquent de refuser de participer à une guerre contre quelqu’un qu’ils aiment bien.;Verbündete könnten die Teilnahme an einem Krieg gegen jemand verweigern, den sie mehr mögen als Euch.;;Los aliados podrían negarse a participar en una guerra contra alguien que les guste más que tú.;;;;;;;;;x
LOADING_TIP_36;You can also build improvements in the Holdings of your direct vassals.;Vous pouvez aussi construire des améliorations dans les Fiefs de vos vassaux directs.;In den Besitztümern Eurer direkten Vasallen könnt Ihr ebenfalls Verbesserungen bauen.;;También puedes construir mejoras en las posesiones de tus vasallos directos.;;;;;;;;;x
LOADING_TIP_37;Children tend to get the same traits and skills as their assigned guardian.;Les enfants ont tendance à hériter des caractéristiques et compétences de leur tuteur.;Kinder tendieren dazu, die gleichen Fähigkeiten und Eigenschaften wie die ihnen zugeteilten Vormünder zu erlangen.;;Los niños tienden a adquirir los rasgos y habilidades de su tutor asignado.;;;;;;;;;x
LOADING_TIP_38;Send help, the mod has been hijacked!;;;;;;;;;;;;;x
LOADING_TIP_39;Nobles care about Prestige. Religious leaders care about Piety. Everyone cares for Gold.;Les nobles s’intéressent au prestige, les chefs religieux s’intéressent à la piété et tout le monde s’intéresse à l’or.;Edelleute finden Prestige wichtig, religiöse Oberhäupter Pietät, aber alle interessieren sich für Gold. ;;Los nobles se interesan por el prestigio. Los líderes religiosos se interesan por la piedad. Todos se interesan por el oro.;;;;;;;;;x
LOADING_TIP_40;If an Antipope dethrones the reigning pope, he becomes the new Pope.;Si un antipape détrône le Pape régnant, il devient le nouveau Pape.;Wenn ein Gegenpapst den amtierenden Papst stürzt, wird er selbst der neue Papst.;;Si un antipapa derroca al papa reinante, aquel se convierte en el nuevo papa.;;;;;;;;;x
LOADING_TIP_41;Carefully check the traits of your wife;Vérifiez bien les caractéristiques de votre femme;Gebt gut Acht auf die Vorzüge Eurer Ehefrau;;Comprueba cuidadosamente los rasgos de tu esposa;;;;;;;;;x
LOADING_TIP_42;Nominating someone a Bishop will disqualify him from succession;La nomination de quelqu'un comme évêque va le disqualifier de la succession;Jemandem einen Bischof zu nominieren, disqualifiziert ihn als Erben;;Nombrar a alguien obispo le descalifica para la sucesión ;;;;;;;;;x
LOADING_TIP_43;Greedy and generally indulgent characters like gifts more;Les sujets gourmands et généralement indulgents aiment beaucoup les cadeaux ;Geizige und allgemein nachsichtige Charaktere mögen Geschenke mehr;;Personajes codiciosos e indulgente generalmente les gustan más los regalos ;;;;;;;;;x
LOADING_TIP_44;With Agnatic-Cognatic succession, a younger daughter with a son comes before an older daughter without.;Lors d'une succession agnatique-cognatique , la cadette qui est mère d'un garçon sera prioritaire à son aînée qui n'a pas de garçon.;In einer agnatisch-kognatischen Erbfolge steht eine jüngere Tochter mit einem Sohn vor einer älteren Tochter ohne einem Sohn.;;En la sucesión agnaticio-cognaticia, una hija que tenga un hijo tiene preferencia frente a una hija de mayor edad sin hijos.;;;;;;;;;;x;
LOADING_TIP_45;You can make selection choose fleets exclusively using the ALT key.;Vous pouvez ne sélectionner que vos flottes en utilisant la touche ALT.;Sie können eine Auswahl nur auf Flotten treffen, indem Sie die Alt-Taste gedrueckt halten.;;Puedes hacer que la tropa seleccionada se embarque usando simplemente la tecla ALT;;;;;;;;;x
LOADING_TIP_46;After the Event, some surviving circuses and zoos trained and bred their elephants for war.;;;;;;;;;;;;;x
LOADING_TIP_47;Once the Emperor of California was the absolute ruler of all under heaven. Now he is a figurehead whose power barely extends beyond the Imperial Palace in Sacramento.;;;;;;;;;;;;;x
LOADING_TIP_48;The campaign trail can be a very dangerous place...;;;;;;;;;;;;;x
LOADING_TIP_49;Usurping or destroying the Empire of California will damage Cetic moral authority.;;;;;;;;;;;;;x
LOADING_TIP_50;With sufficient bloody sacrifices, prestige, piety, and personal skill, a Mictlantec king can be declared a living god!;;;;;;;;;;;;;x
LOADING_TIP_51;Anabaptists do not believe their faith justifies holy war, but they will go to war for other reasons.;;;;;;;;;;;;;x
LOADING_TIP_52;A sufficiently powerful Ursuline or High Church ruler can unify these two Canadian faiths into the Confederated Church.;;;;;;;;;;;;;x
LOADING_TIP_53;Several American cultures and faiths have a tradition of vision quests, allowing rulers to gain deep spiritual insight.;;;;;;;;;;;;;x
LOADING_TIP_54;It is dangerous to be imprisoned. Atomicist, Gaian, Mesoamerican, Norse, and Voodoo rulers all have nasty surprises for their prisoners.;;;;;;;;;;;;;x
LOADING_TIP_55;Norse, Brethren, Mictlantec, and Haida rulers seek to plunder gold and slaves from your wealthy counties.;;;;;;;;;;;;;x
LOADING_TIP_56;Going down the Oregon Trail can be a rewarding experience, but unprepared rulers may find themselves forced to make dangerous decisions.;;;;;;;;;;;;;x
LOADING_TIP_57;The Druidic religion is standing on its last legs, after centuries of losing ground to both Christianity and other pagan faiths.;;;;;;;;;;;;;x
LOADING_TIP_58;Jewish councillors will sometimes benefit the advancement of technology.;Les conseillers juifs bénéficient parfois des dernières avancées technologiques.;Jüdische Berater können gelegentlich den technologischen Fortschritt beschleunigen.;;Los consejeros judíos pueden beneficiarte con avances tecnológicos.;;;;;;;;;x
LOADING_TIP_59;Just as Christians have Crusades, Mormons have Expeditions.;;;;;;;;;;;;;x
LOADING_TIP_60;Beware the Jaguar who dwells in the South, the Empire of Brazil...;;;;;;;;;;;;;x
LOADING_TIP_61;A powerful Rust Cultist ruler may decide that their faith needs a formal leader.;;;;;;;;;;;;;x
LOADING_TIP_63;The Governatus of California has a great deal of influence over the Empire's affairs. An ambitious ruler would do well to claim this title.;;;;;;;;;;;;;x
LOADING_TIP_63;All rulers in California must take an imperial exam to determine their fitness for rule. Failing this exam can have dire consequences.;;;;;;;;;;;;;x
LOADING_TIP_64;Bureaucratic realms can vary in their level of bureaucracy. An ambitious ruler would do well to centralize their realm.;;;;;;;;;;;;;x
LOADING_TIP_65;Cetics revere both pre-Event and post-Event gurus. Pre-Event gurus are more philosophically influential, but post-Event gurus tend to be more popular with peasants.;;;;;;;;;;;;;x
LOADING_TIP_66;The Green Sash Rebellion spelled the beginning of the end for Imperial authority in California. Some Gaians believe that the General who led it will return one day...;;;;;;;;;;;;;x
LOADING_TIP_67;Zakariyya Abu Tammam conquered San Francisco, but relinquished control of the city after only three days. Some believe this was the wisest decision he ever made.;;;;;;;;;;;;;x
LOADING_TIP_68;You can take control of foreign invaders with the Ruler Designer DLC. Create a suitable character and select the Player Colonizer trait from the menu.;;;;;;;;;;;;;x
LOADING_TIP_69;This is the 69th loadtip! Nice.;;;;;;;;;;;;;x
LOADING_TIP_70;Mormons operating under Theodemocracy can only expect the most reverent and well read candidates to carry the support of their congregations upon succession.;;;;;;;;;;;;;x
LOADING_TIP_71;Theodemocratic rulers can not only hold temples, but can build a powerful and unique improvement for them.;;;;;;;;;;;;;x
LOADING_TIP_72;Just as the Catholic Pope is elected by the College of Cardinals, the Mormon President is selected by the Quorum of the Twelve Apostles.;;;;;;;;;;;;;x
LOADING_TIP_73;An Aphite ruler can Quarantine any Atomicist holy sites under their control, putting a permanent end to Atomicist resurgences in the area.;;;;;;;;;;;;;x
LOADING_TIP_74;Coloradan Neo-Gnosticism is seen as a middle ground between the Cetics of California and the Catholics of the Midwest.;;;;;;;;;;;;;x
LOADING_TIP_75;"Many men have loved the meal while shirking the kitchen." -Zakariyya I;;;;;;;;;;;;;x
LOADING_TIP_76;"Time, the devourer of all things." -Publius Ovidius Naso;;;;;;;;;;;;;x
LOADING_TIP_77;"All things death claims. 'Tis law, not punishment, to die." -Seneca the Elder;;;;;;;;;;;;;x
LOADING_TIP_78;"The study of history is the best medicine for a sick mind, for in history you have a record of the infinite variety of human experience plainly set out for all to see: and in that record you can find for yourself and your country both examples and warnings." -Titus Livius;;;;;;;;;;;;;x
LOADING_TIP_79;"When the world was in darkness and wretchedness, it could believe in perfection and yearn for it. But when the world became bright with reason and riches, it began to sense the narrowness of the needle's eye, and that rankled for a world no longer willing to believe or yearn." -Walter M. Miller Jr., A Canticle for Leibowitz;;;;;;;;;;;;;x
LOADING_TIP_80;"But neither infinite power nor infinite wisdom could bestow godhood upon men. For that there would have to be infinite love as well." -Walter M. Miller Jr., A Canticle for Leibowitz;;;;;;;;;;;;;x
LOADING_TIP_81;"...Nature imposes nothing on you that Nature doesn't prepare you to bear." -Walter M. Miller Jr., A Canticle for Leibowitz;;;;;;;;;;;;;x
LOADING_TIP_82;"For that which is without a beginning, a final cause need not be sought." -Maimonides;;;;;;;;;;;;;x
LOADING_TIP_83;"We have lost much since the days of Rebbe Schneerson, but the Torah remains eternal." -Unknown;;;;;;;;;;;;;x
LOADING_TIP_84;"If nothing else, remember this - beware the power of the Atom." -Last words of Marvin the Unready;;;;;;;;;;;;;x
LOADING_TIP_85;"America was not just an empire, it was a way of life." -Bannister Smithson;;;;;;;;;;;;;x
LOADING_TIP_86;"The battle is ours, the victory is God's!" -Zakariyya I;;;;;;;;;;;;;x
LOADING_TIP_87;"An Emperor's measure is his will." -Elton I;;;;;;;;;;;;;x
LOADING_TIP_88;"All should follow the ways which lead to the totally righteous." -Elton I;;;;;;;;;;;;;x
LOADING_TIP_89;"Earthly life deceives, hurts, and passes." -Elton I;;;;;;;;;;;;;x
LOADING_TIP_90;"Victory passes back and forth between men." -Homer, The Iliad;;;;;;;;;;;;;x
LOADING_TIP_91;Various remarkable landmarks dot the whole American continent.;;;;;;;;;;;;;x
LOADING_TIP_92;Aphites were once the majority faith. Atomicists have now overtaken them, much to their dismay.;;;;;;;;;;;;;x
LOADING_TIP_93;If one is lucky, one may get his hands on the various artifacts that the pre-Event Americans used.;;;;;;;;;;;;;x
LOADING_TIP_94;All Canadian rulers can levy special Ski-Warriors, warriors who can fight expertly in arctic and mountainous terrain.;;;;;;;;;;;;;x
LOADING_TIP_95;Beware of the Men-in-Black....;;;;;;;;;;;;;x
