# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTDESC_SUFI_4603_REGULAR;Blessings to you, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName],\nI have observed your attempts at following the Rule of Saint Benedict, and I noticed you could do with some help. Allow me to offer mine. However, the first lesson must be that nothing in life is obtained without cost, and a minor form of compensation would therefore be required.\n\nSigned, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];Soyez béni[benedictines_diligent_mentee.GetNoneE], [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName], \nJ'ai observé vos tentatives de suivre la Règle de saint Benoît et imaginé ce que vous pourriez faire avec de l'aide. Permettez-moi d'offrir la mienne. Cependant, la première leçon doit être que rien dans la vie n'est obtenu gratuitement. Une petite compensation serait donc nécessaire. \n\nSigné, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];Seid gesegnet, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName],\nich habe beobachtet, wie Ihr die Regeln des Heiligen Benedikt befolgt, und mir ist aufgefallen, dass Ihr etwas Hilfe gebrauchen könntet. Erlaubt mir, Euch die Hand zu reichen. Die erste Lektion jedoch muss sein, dass nichts im Leben umsonst ist, deshalb wäre eine geringe Vergütung vonnöten.\n\nGezeichnet, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];;Bendiciones, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName]:\nHe estado observando tus intentos por seguir la regla de san Benito y creo que te vendría bien un poco de ayuda. Me ofrezco a echarte una mano, pero siempre y cuando entiendas que nada en la vida es gratis y que espero una ligera compensación a cambio.\n\nFirmado: [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName];;;;;;;;;x
EVTOPTA_SUFI_4603;[benedictines_diligent_mentor.GetSheHeCap] is right, I could use the help...;[benedictines_diligent_mentor.GetIlElleCap] a raison, une aide pourrait m'être utile...;[benedictines_diligent_mentor.GetSheHeCap] hat recht, ich könnte Hilfe gebrauchen ...;;Tiene razón, me vendría bien su ayuda.;;;;;;;;;x
EVTOPTB_SUFI_4603_SLOTHFUL;How dare [benedictines_diligent_mentor.GetSheHe]?!;Comment ose-t-[benedictines_diligent_mentor.GetIlElle] ?!;Wie kann [benedictines_diligent_mentor.GetSheHe] er es nur wagen?!;;¡¿Cómo se atreve?!;;;;;;;;;x
EVTOPTC_SUFI_4603_REGULAR;I don't need [benedictines_diligent_mentor.GetHerHis] help.;Je n'ai pas besoin de son aide.;Ich brauche keine Hilfe.;;No necesito su ayuda.;;;;;;;;;x
EVTDESC_SUFI_4604;Blessings to you, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName],\nI thank you for your offer of help, and I send to you the requested payment alongside this message. I look forward to your guidance!\n\nSigned, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];Soyez béni[benedictines_diligent_mentee.GetNoneE], [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName], \nJe vous remercie pour votre offre d'aide, et je vous envoie le paiement demandé avec ce message. Je me réjouis de vos conseils ! \n\nSigné, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];Seid gesegnet, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName],\nich danke Euch für Eure Hilfe und ich habe Euch die Bezahlung samt dieser Nachricht zukommen lassen. Ich freue mich auf Euren Beistand!\n\nGezeichnet, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];;Bendiciones, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName]:\nAgradezco tu ofrecimiento de ayuda y te envío junto con este mensaje el pago correspondiente. ¡Aguardo con ansias tu orientación!\n\nFirmado: [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];;;;;;;;;x
EVTOPTA_SUFI_4604;Excellent, let us begin...;Excellent. Commençons, alors...;Ausgezeichnet, lasst uns anfangen ...;;Excelente. Empecemos.;;;;;;;;;x
EVTOPTA_SUFI_4604_TOOLTIP;Help [benedictines_diligent_mentee.GetTitledFirstName] to become a hard worker.\n;Vous aidez [benedictines_diligent_mentee.Get_le_Title][benedictines_diligent_mentee.GetTitledFirstName] à devenir un[benedictines_diligent_mentee.GetNoneE] travailleu[benedictines_diligent_mentee.GetRSe] acharné[benedictines_diligent_mentee.GetNoneE].\n;Helft [benedictines_diligent_mentee.GetTitledFirstName], ein fleißiger Arbeiter zu werden.\n;;Ayudas a [benedictines_diligent_mentee.GetTitledFirstName] a aumentar su productividad.\n;;;;;;;;;x
EVTDESC_SUFI_4605;With patient dedication [benedictines_diligent_mentor.GetTitledFirstName] has shown me how to create a horarium to assign my time appropriately, making it easier to structure the work I do. It has already proven to be most useful, and work comes more easily to me now.;Avec beaucoup de dévouement, [benedictines_diligent_mentor.Get_le_Title][benedictines_diligent_mentor.GetTitledFirstName] m'a montré comment créer un horarium pour affecter mon temps de manière appropriée et me rendre ainsi plus producti[Root.GetFVe]. Il a déjà prouvé son utilité, le travail m'étant plus facile maintenant.;[benedictines_diligent_mentor.GetTitledFirstName] hat sich mir geduldig gewidmet und mir gezeigt, wie man ein Horarium erstellt, damit ich mir die Zeit sinnvoll einteile, was es mir erleichtert, meine Arbeit zu ordnen. Es hat sich bereits als sehr nützlich erwiesen und ich kann mich besser auf meine Arbeit konzentrieren.;;Con su dedicación paciente, [benedictines_diligent_mentor.GetTitledFirstName] me ha enseñado a planear un horario con el que aprovechar mejor el tiempo. Ahora mi trabajo está organizado, por lo que me resulta más fácil llevar mis tareas a cabo.;;;;;;;;;x
EVTOPTA_SUFI_4605;[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] is a gift from the Lord himself!;[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] est un don du Ciel !;[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] ist ein Geschenk des Herrn!;;¡[benedictines_diligent_mentor.GetFirstName] es un regalo divino!;;;;;;;;;x
EVTDESC_SUFI_4607_SLOTHFUL;With some help and ample amounts of discipline the horarium [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] helped me create has allowed me to defeat my laziness. Hard work is so much more fulfilling!;Avec un peu d'aide et beaucoup de discipline, l'horarium que [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] m'a aidé à créer m'a permis de vaincre ma paresse. Le travail acharné est tellement plus épanouissant !;Mit etwas Hilfe und ausreichend Disziplin hat das Horarium, welches [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] mit mir erstellte, es mir ermöglicht, meine Faulheit zu bezwingen. Harte Arbeit ist so viel erfüllender!;;[benedictines_diligent_mentor.GetFirstName] me ha ayudado a adquirir disciplina y ha planeado un horario para que haga frente a mi pereza. ¡El trabajo duro es mucho más gratificante!;;;;;;;;;x
EVTDESC_SUFI_4607_REGULAR;[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName]'s horarium was exactly what I needed to truly live up to the ideals of our Order.;L'horarium de [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] était exactement ce dont j'avais besoin pour vivre en accord avec les idéaux de notre Ordre.;Das Horarium von [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName] war genau das, was ich gebraucht habe, um den Idealen unseres Ordens endlich gerecht zu werden.;;El horario que ha planeado [benedictines_diligent_mentor.GetFirstName] es justo lo que necesitaba para cumplir con los ideales de la orden.;;;;;;;;;x
EVTOPTA_SUFI_4607;Hard work is its own reward.;Le dur labeur est une récompense en soi.;Die Belohnung liegt in der harten Arbeit selbst.;;El trabajo duro es muy gratificante.;;;;;;;;;x
EVTDESC_SUFI_4608_OUTRAGED;[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName].\nI am most offended by your insinuation that I embarrass the Order. I neither need nor desire your aid, and I would not think to pay you for it even if I did. Perhaps you should focus on your own work rather than stick your nose in others' affairs.\n\nSigned, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName].\nJe suis très offensé[benedictines_diligent_mentor.GetNoneE] par votre insinuation que je gêne l'Ordre. Je n'ai ni besoin ni envie de votre aide, et je ne penserais pas à vous payer pour cela. Peut-être devriez-vous vous concentrer sur votre propre travail plutôt que de vous mêler des affaires des autres. \n\nSigné, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName],\nEure Anspielung, ich wäre eine Schande für den Orden, verletzt mich zutiefst. Weder benötige ich noch will ich Eure Hilfe, und selbst wenn, dann würde ich Euch gewiss nicht dafür bezahlen. Vielleicht solltet Ihr Euch lieber auf Eure eigene Arbeit konzentrieren, anstatt Eure Nase in die Angelegenheiten anderer zu stecken.\n\nGezeichnet, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];;[benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName]:\nTus insinuaciones de que mi actitud es una deshonra para la orden son altamente injuriosas. Ni quiero ni necesito tu ayuda, y aunque la necesitara, jamás te pagaría por ella. Tal vez deberías centrarte en tus obligaciones en lugar de meter las narices donde no te llaman.\n\nFirmado: [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];;;;;;;;;x
EVTDESC_SUFI_4608_NORMAL;Blessings to you, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName],\nI thank you for your offer of help, but I do not feel that it is necessary at this point.\n\nSigned, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];Soyez béni[benedictines_diligent_mentee.GetNoneE], [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName],\nJe vous remercie pour votre offre d'aide, mais je n'en ressens pas le besoin pour le moment.\n\nSigné, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];Seid gesegnet, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName],\nich danke Euch für Euer Angebot, aber ich glaube nicht, dass ich derzeit Hilfe brauche.\n\nGezeichnet, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];;Bendiciones, [benedictines_diligent_mentor.GetSisterBrotherCap] [benedictines_diligent_mentor.GetFirstName]:\nAgradezco tu ofrecimiento de ayuda, pero no lo considero necesario ahora mismo.\n\nFirmado: [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName];;;;;;;;;x
EVTOPTA_SUFI_4608_OUTRAGED;This is... Unfortunate.;C'est... malheureux.;Das ist ... bedauerlich.;;Qué inoportuno.;;;;;;;;;x
EVTOPTA_SUFI_4608_NORMAL;Very well.;Très bien.;Nun gut.;;De acuerdo.;;;;;;;;;x
EVTOPTA_SUFI_4608_TOOLTIP;[benedictines_diligent_mentee.GetTitledFirstName] has rejected my offer of help.;[benedictines_diligent_mentee.Get_Le_Title][benedictines_diligent_mentee.GetTitledFirstName] a rejeté mon offre.;[benedictines_diligent_mentee.GetTitledFirstName] hat mein Hilfsangebot ausgeschlagen.;;[benedictines_diligent_mentee.GetTitledFirstName] rechaza mi ofrecimiento.;;;;;;;;;x
EVTDESC_SUFI_4609_SLOTHFUL;The horarium I helped [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] create has worked wonders. [benedictines_diligent_mentee.GetSheHeCap] has bettered [benedictines_diligent_mentee.GetHerHis] ways, and now works hard like a true Benedictine!;L'horarium que j'ai aidé à créer a marché merveilleusement. [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] a amélioré son comportement, et travaille dur comme un[benedictines_diligent_mentee.GetNoneE] vrai[benedictines_diligent_mentee.GetNoneE] bénédictin[benedictines_diligent_mentee.GetNoneE] !;Das Horarium, das ich mit [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] erstellt habe, hat Wunder gewirkt. [benedictines_diligent_mentee.GetSheHeCap] hat sich gebessert und arbeitet nun so hart wie ein wahres Mitglied des Ordens!;;El horario que he creado con [benedictines_diligent_mentee.GetFirstName] ha sido mano de santo. Ha rectificado su actitud y ahora trabaja duro como los verdaderos benedictinos.;;;;;;;;;x
EVTDESC_SUFI_4609_REGULAR;With the aid of the new horarium I helped [benedictines_diligent_mentee.GetHerHim] make, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] has become a proper hard worker.;Avec l'aide du nouvel horarium que j'ai aidé à faire, [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] est devenu[benedictines_diligent_mentee.GetNoneE] un[benedictines_diligent_mentee.GetNoneE] travailleu[benedictines_diligent_mentee.GetRSe] acharné[benedictines_diligent_mentee.GetNoneE].;Dank des neuen Horariums, das ich mit [benedictines_diligent_mentee.Getihmihr] erstellt habe, arbeitet [benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] nun fleißig.;;El horario que le he ayudado a crear a [benedictines_diligent_mentee.GetFirstName] le ha permitido adquirir disciplina para trabajar duro.;;;;;;;;;x
EVTOPTA_SUFI_4609;[benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] is now truly one of us.;[benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] est à présent vraiment l'un[benedictines_diligent_mentee.GetNoneE] des nôtres.;[benedictines_diligent_mentee.GetSisterBrotherCap] [benedictines_diligent_mentee.GetFirstName] ist nun wirklich ein Teil von uns.;;Por fin [benedictines_diligent_mentee.GetFirstName] se ha adaptado a la orden.;;;;;;;;;x
# EVTOPTA_SUFI_4400_GOD;Praised be [Root.GetsufiMoGod]!;Loué soit [Root.GetsufiMoGod] !;Gelobt sei [Root.GetsufiMoGod]!;;¡Alabado/a sea [Root.GetsufiMoGod]!;;;;;;;;;x
# EVTOPTA_SUFI_4400_NOGOD;I will double my efforts from now on!;Je vais redoubler d'efforts désormais !;Von nun an werde ich meine Bemühungen verdoppeln!;;Me esforzaré el doble a partir de ahora.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_CYNICAL;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. While I was skeptical at first, I have found much truth in the words of [Root.GetsufiMoSaint]. This is truly a path worth treading. I am a doubter no more.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Bien que j'étais sceptique au début, j'ai trouvé beaucoup de vérités dans la parole de [Root.GetsufiMoSaint]. C'est un chemin qui vaut vraiment la peine d'être emprunté. Je ne suis plus cynique.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Ich war anfangs zwar skeptisch, aber ich habe viel Wahrheit in [Root.GetHerHis]en Worten gefunden. Dieser Weg ist es wert, beschritten zu werden. Ich hege keine Zweifel mehr.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Al principio tuve mis dudas, pero he descubierto que las palabras de [Root.GetsufiMoSaint] encierran una gran verdad. Creo que debo seguir esta senda. Se han disipado todas mis reticencias.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_GLUTTONOUS;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. As I have followed this holy path, I have reigned in my bodily desires for food and other physical excesses.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Depuis que je suis ce chemin sacré, j'ai limité les excès de mon corps concernant la nourriture.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Auf diesem heiligen Pfad habe ich meine körperlichen Bedürfnisse nach Nahrung und anderen physischen Exzessen gezügelt.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Esta senda sagrada me ha ayudado a controlar mi apetito por la comida y los excesos físicos.;;;;;;;;;x
EVTDESC_SUFI_4400_REMOVE_GREEDY;My wish to become a better [Root.GetReligiousPerson] has led me to [Root.GetsufiMoCode]. As I have followed this holy path, I have felt my need for material goods diminish. I no longer crave excess and indulgences.;Mon souhait de devenir un[Root.GetNoneE] meilleur[Root.GetNoneE] [Root.GetReligiousPersonMascFem] m'a amené à respecter [Root.GetsufiMoCode]. Depuis que je suis ce chemin sacré, mon besoin de biens matériels a diminué. Je n'ai plus envie de choses luxueuses.;Mein Wunsch, ein besserer [Root.GetReligiousPerson] Mensch zu werden, hat mich [Root.GetsufiMoCodedemder] nähergebracht. Auf diesem heiligen Pfad hat sich mein Bedürfnis nach materiellen Gütern gelegt. Exzess und Luxus sind mir von nun an fremd.;;Mi deseo de servir mejor al credo [Root.GetReligiousPerson] me ha llevado hasta [Root.GetsufiMoCode]. Esta senda sagrada ha reducido mi necesidad de bienes materiales. Ya no ansío los excesos ni los vicios.;;;;;;;;;x
