From;To;Type;Through;-1;-1;-1;-1;Comment
16;30;major_river;4109;-1;-1;-1;-1;Rochester-ErieC-Canandaigua
16;29;major_river;4109;-1;-1;-1;-1;Rochester-ErieC-Genesee
17;29;major_river;4109;-1;-1;-1;-1;Buffalo-ErieC-Genesee
17;28;major_river;4109;-1;-1;-1;-1;Buffalo-ErieC-Chautauqua
214;1050;major_river;4175;-1;-1;-1;-1;Cuivre-St Louis
214;1294;major_river;4175;-1;-1;-1;-1;Cuivre-Gasconade
214;1077;major_river;4174;-1;-1;-1;-1;Cuivre-Quincy
214;1078;major_river;4174;-1;-1;-1;-1;Cuivre-Alton
215;1077;major_river;4174;-1;-1;-1;-1;Hannibal-Quincy
215;1079;major_river;4174;-1;-1;-1;-1;Hannibal-LaMoine
216;1295;major_river;4175;-1;-1;-1;-1;Boone-Cole
1018;1051;major_river;4177;-1;-1;-1;-1;Purchase-Girardeau
1291;1023;major_river;4177;-1;-1;-1;-1;Bootheel-Reelfoot
1249;1124;major_river;4116;-1;-1;-1;-1;Plaquemines-New Oreleans
1250;1124;major_river;4116;-1;-1;-1;-1;Thibodaux-New Oreleans
1250;1119;major_river;4116;-1;-1;-1;-1;Thibodaux-Itta Homma
1264;1125;major_river;4116;-1;-1;-1;-1;St Landry-Mississippi-Natchez
1251;1119;major_river;4116;-1;-1;-1;-1;Atchafalaya-Itta Homma
1267;1125;major_river;4116;-1;-1;-1;-1;Catahoula-Mississippi-Natchez
1267;1126;major_river;4116;-1;-1;-1;-1;Catahoula-Mississippi-Bayou Pierre
1286;1126;major_river;4172;-1;-1;-1;-1;Ouachita-Mississippi-Bayou Pierre
1286;1127;major_river;4172;-1;-1;-1;-1;Ouachita-Mississippi-Vicksburg
1014;1055;major_river;4117;-1;-1;-1;-1;Owensboro-LowOhio-Cairo
1014;1058;major_river;4117;-1;-1;-1;-1;Owensboro-LowOhio-Effingham
1014;1059;major_river;4117;-1;-1;-1;-1;Owensboro-LowOhio-Evansville
1017;1055;major_river;4117;-1;-1;-1;-1;Purchase-LowOhio-Cairo
1018;1055;major_river;4117;-1;-1;-1;-1;Mineral Mound-LowOhio-Cairo
1009;1060;major_river;4118;-1;-1;-1;-1;Louisville-MidOhio-Hoosier
1009;1061;major_river;4118;-1;-1;-1;-1;Louisville-MidOhio-Versailles
122;1061;major_river;4118;-1;-1;-1;-1;Covington-MidOhio-Versailles
1013;1060;major_river;4118;-1;-1;-1;-1;Rough River-MidOhio-Hoosier
116;122;major_river;4119;-1;-1;-1;-1;Scioto-UpperOhioR-Covington
116;1003;major_river;4119;-1;-1;-1;-1;Scioto-UpperOhioR-Greenbo
116;1006;major_river;4119;-1;-1;-1;-1;Scioto-UpperOhioR-BlueLicks
121;122;major_river;4119;-1;-1;-1;-1;Cincinnati-Covington-Ohio
1051;1055;major_river;4141;-1;-1;-1;-1;Cape Girardeau-Chain of Rocks-Cairo
1050;1056;major_river;4141;-1;-1;-1;-1;St Louis-Chain of Rocks-Kaskasia
1264;1267;major_river;4171;-1;-1;-1;-1;St Landry-Red River-Catahoula
1266;1267;major_river;4171;-1;-1;-1;-1;Rapides-Red River-Catahoula
1267;1125;major_river;4172;-1;-1;-1;-1;Natchez-Catahoula
1284;1287;major_river;4171;-1;-1;-1;-1;Natchitoches-Red River-Kisatchie
213;1079;major_river;4174;-1;-1;-1;-1;Shoquoquon-LaMoine
233;1127;major_river;4172;-1;-1;-1;-1;Chicot-Vicksburg
233;1133;major_river;4172;-1;-1;-1;-1;Chicot-Sunflower
232;1132;major_river;4173;-1;-1;-1;-1;White-Arkabutla
232;1131;major_river;4173;-1;-1;-1;-1;White-Tillatoba
251;255;major_river;4175;-1;-1;-1;-1;Saline-Missouri-Thompson
251;252;major_river;4175;-1;-1;-1;-1;Saline-Missouri-Bluffwoods
251;216;major_river;4175;-1;-1;-1;-1;Saline-Missouri-Boone
250;252;major_river;4176;-1;-1;-1;-1;Moks-Missouri-Bluffwoods
238;1024;major_river;4177;-1;-1;-1;-1;Crowley-Memphis
1053;1054;major_river;4180;-1;-1;-1;-1;Rockford-Kankakee
1053;1070;major_river;4179;-1;-1;-1;-1;Rockford-Streatorland
1071;1070;major_river;4179;-1;-1;-1;-1;Peoria-Streatorland
1071;1072;major_river;4178;-1;-1;-1;-1;Peoria-Sangamon
1077;1078;major_river;4178;-1;-1;-1;-1;Alton-Quincy
#354;363;major_river;4176;-1;-1;-1;-1;Norfolk-Missouri-Floyd
354;299;major_river;4176;-1;-1;-1;-1;Norfolk-Missouri-Kanesville
353;299;major_river;4176;-1;-1;-1;-1;Omaha-Missouri-Kanesville
346;253;major_river;4176;-1;-1;-1;-1;Atchison-Missouri-Nodaway
346;252;major_river;4176;-1;-1;-1;-1;Atchison-Missouri-Bluffwoods
4108;4109;portage;14;-1;-1;-1;-1;Erie Crossing
130;131;sea;4106;-1;-1;-1;-1;Carteret-Hatteras
17;1268;sea;4094;-1;-1;-1;-1;Niagara Falls-Buffalo
118;1273;sea;4114;-1;-1;-1;-1;Detroit-Windsor
171;1274;sea;4114;-1;-1;-1;-1;Port Huron-Sarnia
-1;-1;;-1;-1;-1;-1;-1;-1
