From;To;Type;Through;-1;-1;-1;-1;Comment
263;262;major_river;950;-1;-1;-1;-1;Minneapolis-Mississippi-Anoka
263;226;major_river;950;-1;-1;-1;-1;Minneapolis-Mississippi-Willow
1075;1062;major_river;958;-1;-1;-1;-1;Chambana-Wabash-Vincennes
1058;1062;major_river;958;-1;-1;-1;-1;Effingham-Wabash-Vincennes
1058;1059;major_river;958;-1;-1;-1;-1;Effingham-Wabash-Evansville
2003;792;major_river;1612;-1;-1;-1;-1;Mexicali-ColoradoR-Plutarco
1473;1472;portage;17;-1;-1;-1;-1;Niagara River-Toronto Bay
131;130;sea;1485;-1;-1;-1;-1;Carteret-Hatteras
129;130;sea;1485;-1;-1;-1;-1;Currituck-Hatteras
73;74;sea;1483;-1;-1;-1;-1;Three Necks-Hampton Roads
118;1273;sea;1493;-1;-1;-1;-1;Detroit-Essex
171;1274;sea;1493;-1;-1;-1;-1;Port Huron-Lambton
2031;2033;sea;1620;-1;-1;-1;-1;The Golden Strait
2043;2042;sea;1620;-1;-1;-1;-1;Napa-Contra Costa
2076;2042;sea;1620;-1;-1;-1;-1;Solano-Conta Costa
2038;2041;major_river;1619;-1;-1;-1;-1;Stanislaus-Tuolumne
2045;2042;major_river;1619;-1;-1;-1;-1;San Joaquin-Contra Costa
2044;2047;major_river;1618;-1;-1;-1;-1;Yolo-Yuba
2045;2044;major_river;1618;-1;-1;-1;-1;San Joaquin-Yolo
2046;2044;major_river;1618;-1;-1;-1;-1;Sacramento-Yolo
2047;2050;major_river;1618;-1;-1;-1;-1;Yuba-Colusa
2076;2046;major_river;1618;-1;-1;-1;-1;Solano-Sacramento
2076;2045;major_river;1618;-1;-1;-1;-1;Solano-San Joaquin
2013;792;major_river;1612;-1;-1;-1;-1;Salton-Plutarco
2013;418;major_river;1612;-1;-1;-1;-1;Salton-Yuma
2013;442;major_river;1612;-1;-1;-1;-1;Salton-Ahwe Nyava
2018;442;major_river;1612;-1;-1;-1;-1;Blythe-Ahwe
537;533;sea;1614;-1;-1;-1;-1;Willapa Bay-Clatsop
536;533;sea;1614;-1;-1;-1;-1;Clark-Clatsop
536;534;sea;1614;-1;-1;-1;-1;Clark-Portland
533;534;major_river;944;-1;-1;-1;-1;Clatsop-Portland
532;534;major_river;944;-1;-1;-1;-1;Tillamook-Portland
532;531;major_river;944;-1;-1;-1;-1;Tillamook-Santiam
536;535;major_river;1614;-1;-1;-1;-1;Clark-Mount Hood
514;517;major_river;1614;-1;-1;-1;-1;Klickitat-Columbia Gorge
514;732;major_river;1615;-1;-1;-1;-1;Klickitat-Morrow
698;515;major_river;1615;-1;-1;-1;-1;Benton-Wallawalla
698;508;major_river;1615;-1;-1;-1;-1;Benton-Grant
698;511;major_river;1615;-1;-1;-1;-1;Benton-Franklin
698;732;major_river;1615;-1;-1;-1;-1;Benton-Morrow
698;516;major_river;1615;-1;-1;-1;-1;Benton-Umatilla
513;511;major_river;1616;-1;-1;-1;-1;Kittitas-Franklin
513;508;major_river;1616;-1;-1;-1;-1;Kittitas-Grant
545;507;major_river;1616;-1;-1;-1;-1;Okanogan-Douglas
511;515;major_river;1617;-1;-1;-1;-1;Franklin-Wallawalla
506;509;major_river;1626;-1;-1;-1;-1;Colville-adams
506;507;major_river;1626;-1;-1;-1;-1;Colville-Douglas
540;542;sea;1611;-1;-1;-1;-1;Kitsap-Rainier
540;543;sea;1611;-1;-1;-1;-1;Kitsap-Seattle
540;544;sea;1611;-1;-1;-1;-1;Kitsap-Snohomish
539;544;sea;1611;-1;-1;-1;-1;Cape Alava-Snohomish
546;549;sea;1609;-1;-1;-1;-1;Camano-San Juan Islands
547;549;sea;1609;-1;-1;-1;-1;Bellingham Bay-San Juan Islands
549;550;sea;1609;-1;-1;-1;-1;San Juan Islands-Victoria
549;552;sea;1609;-1;-1;-1;-1;San Juan Islands-Cowichan
556;562;sea;1609;-1;-1;-1;-1;Comox-Sunshine Coast
556;558;sea;1609;-1;-1;-1;-1;Comox-Klinaklini
553;551;sea;1599;-1;-1;-1;-1;Prince Rupert-Fjordland
553;685;sea;1599;-1;-1;-1;-1;Prince Rupert-Kitimat
548;562;sea;1609;-1;-1;-1;-1;Vancouver-Sunshine Coast
581;583;major_river;877;-1;-1;-1;-1;Dauphine-Interlake
583;585;major_river;883;-1;-1;-1;-1;Interlake-Atikaki
865;585;major_river;882;-1;-1;-1;-1;St Boniface-Atikaki
865;757;major_river;882;-1;-1;-1;-1;St Boniface-Lake of the Woods
865;584;major_river;879;-1;-1;-1;-1;St Boniface-Winnipeg
865;399;major_river;879;-1;-1;-1;-1;St Boniface-Grand Forks
587;259;major_river;880;-1;-1;-1;-1;Quetico-Mesabi
587;258;major_river;880;-1;-1;-1;-1;Quetico-Kabetogama
258;757;major_river;880;-1;-1;-1;-1;Kabetogama-Lake of the Woods
371;757;major_river;880;-1;-1;-1;-1;Bemidji-Lake of the Woods
267;266;major_river;913;-1;-1;-1;-1;Saguenay-Totouskak
1912;1913;major_river;1461;-1;-1;-1;-1;Atlantico-Santa Marta
1915;1914;major_river;1461;-1;-1;-1;-1;Cartagena-Magdelena Sur
1917;1914;major_river;1443;-1;-1;-1;-1;Momposina-Magdelena Sur
706;1917;major_river;1461;-1;-1;-1;-1;Majagual-Momposina
1917;1904;major_river;1443;-1;-1;-1;-1;Momposina-Aguachica
1917;699;major_river;1443;-1;-1;-1;-1;Momposina-Curumani
1917;1902;major_river;1462;-1;-1;-1;-1;Momposina-Barrancabermeja
604;1902;major_river;1462;-1;-1;-1;-1;Yondo-Barrancabermeja
1909;1930;sea;1470;-1;-1;-1;-1;Maracaibo-Miranda
1942;1941;major_river;1446;-1;-1;-1;-1;Tucupita-Maturin
1942;1943;major_river;1446;-1;-1;-1;-1;Tucupita-Antonio Diaz
1952;1943;major_river;1464;-1;-1;-1;-1;Libertador-Antonio Diaz
1952;1944;major_river;1464;-1;-1;-1;-1;Libertador-Ciudad Guayana
1953;1945;major_river;1445;-1;-1;-1;-1;El Tigre-Ciudad Bolivar
701;1947;major_river;1445;-1;-1;-1;-1;Monagas-Maripa
701;1946;major_river;1445;-1;-1;-1;-1;Monagas-Cedeno
1946;1954;major_river;1463;-1;-1;-1;-1;Cedeno-Leonardo Infante
1946;1955;major_river;1463;-1;-1;-1;-1;Cedeno-Las Mercedes
1946;1962;major_river;1463;-1;-1;-1;-1;Cedeno-Apure
702;1962;major_river;1463;-1;-1;-1;-1;Atures-Apure
702;645;major_river;957;-1;-1;-1;-1;Atures-Capanaparo
702;1964;major_river;957;-1;-1;-1;-1;Atures-Vichada
644;1964;major_river;957;-1;-1;-1;-1;Autana-Vichada
645;1964;major_river;956;-1;-1;-1;-1;Capanaparo-Vichada
1963;1964;major_river;956;-1;-1;-1;-1;Arauca-Vichada
1984;1964;major_river;956;-1;-1;-1;-1;Casanare-Vichada
1258;1257;sea;1451;-1;-1;-1;-1;Antigonish-Unamakika
1258;1256;sea;1451;-1;-1;-1;-1;Antigonish-Pitupok
1018;1017;major_river;1496;-1;-1;-1;-1;The Purchase-Tennessee-Mineral Mound
1025;1083;major_river;1496;-1;-1;-1;-1;Forked Deer-Tennessee-Cheatham
1025;1026;major_river;933;-1;-1;-1;-1;Forked Deer-Tennessee-Tullahoma
1122;1042;major_river;1558;-1;-1;-1;-1;Chickasawhay-Mobile River-Conecuh
1123;1042;major_river;1558;-1;-1;-1;-1;Tallahoma-Mobile River-Conecuh
1009;122;major_river;953;-1;-1;-1;-1;Louisville-Covington
1008;1007;major_river;953;-1;-1;-1;-1;Bourbon-Transylvania
1017;1083;major_river;938;-1;-1;-1;-1;mineral mound-cheatham
1015;1083;major_river;938;-1;-1;-1;-1;mammoth-cheatham
1019;1015;major_river;937;-1;-1;-1;-1;nashville-mammoth
1021;1015;major_river;937;-1;-1;-1;-1;Carthage-mammoth
1028;1029;major_river;952;-1;-1;-1;-1;huntsville-winston
1028;1027;major_river;952;-1;-1;-1;-1;huntsville-guntersville
1022;156;major_river;934;-1;-1;-1;-1;sequatchie-chattanooga
1135;1029;major_river;935;-1;-1;-1;-1;Ackia-winston
1135;1116;major_river;935;-1;-1;-1;-1;Ackia-buttahatchee
1136;1116;major_river;936;-1;-1;-1;-1;Oktibbeha-buttahatchee
1040;1129;major_river;936;-1;-1;-1;-1;Tuscaloosa-Meridian
1041;1129;major_river;1558;-1;-1;-1;-1;Demopolis-Meridian
1046;1045;major_river;941;-1;-1;-1;-1;Tallahassee-Apalachicola
1046;1035;major_river;941;-1;-1;-1;-1;Tallahassee-chipola
1001;1035;major_river;941;-1;-1;-1;-1;Ochlockonee-chipola
1034;1032;major_river;943;-1;-1;-1;-1;dothan-eufaula
1035;1032;major_river;943;-1;-1;-1;-1;chipola-eufaula
206;207;major_river;940;-1;-1;-1;-1;hinesville-golden isles
208;159;major_river;940;-1;-1;-1;-1;dublin-ogeechee
2049;2048;major_river;921;-1;-1;-1;-1;glenn-butte
1124;1117;sea;910;-1;-1;-1;-1;New Orleans-rigolets-Biloxi
1118;1117;major_river;963;-1;-1;-1;-1;Tangipahoa-old pearl-Biloxi
1118;1121;major_river;963;-1;-1;-1;-1;Tangipahoa-old pearl-Leaf
1120;1121;major_river;963;-1;-1;-1;-1;Homochitto-old pearl-Leaf
1120;1128;major_river;963;-1;-1;-1;-1;Homochitto-old pearl-Jackson
47;59;major_river;942;-1;-1;-1;-1;hartford-quiet corner
47;48;major_river;942;-1;-1;-1;-1;hartford-norwich
46;48;major_river;942;-1;-1;-1;-1;Quinnipiac-norwich
687;2079;sea;1459;-1;-1;-1;-1;Saint-Pierre-Fortune Bay
1196;1197;sea;1535;-1;-1;-1;-1;Grand Bahama-New Providence
1875;1197;sea;1535;-1;-1;-1;-1;Andros-New Providence
2017;1197;sea;1536;-1;-1;-1;-1;Out Islands-New Providence
2017;1198;sea;1536;-1;-1;-1;-1;Out Islands-Turks and Caicos
2087;688;sea;1530;-1;-1;-1;-1;St Kitts Nevis-Anguilla
2087;1181;sea;1530;-1;-1;-1;-1;St Kitts Nevis-Antigua Barbuda
1179;1178;sea;1529;-1;-1;-1;-1;Dominique-Martinique
1179;1180;sea;1529;-1;-1;-1;-1;Dominique-Guadeloupe
1878;1877;sea;1466;-1;-1;-1;-1;Trinidad-Tobago
1879;1881;sea;1468;-1;-1;-1;-1;Curacao-Aruba
1879;1880;sea;1468;-1;-1;-1;-1;Curacao-Bonaire
1176;1177;sea;1528;-1;-1;-1;-1;St Vincent-St Lucia
1176;2088;sea;1528;-1;-1;-1;-1;St Vincent-Grenada
1183;1182;sea;1585;-1;-1;-1;-1;San Juan-Virgin Isles
1043;707;major_river;1558;-1;-1;-1;-1;Mobile-Baldwin
1970;1969;major_river;1444;-1;-1;-1;-1;Georgetown-Pomeroon
1972;1968;major_river;1444;-1;-1;-1;-1;Essequibo-Mazaruni
697;728;sea;1454;-1;-1;-1;-1;Mealy-Makkovik
53;54;major_river;899;-1;-1;-1;-1;Wilmington-Dover
53;55;major_river;899;-1;-1;-1;-1;Wilmington-Choptank
68;559;sea;1477;-1;-1;-1;-1;Providence-Nantucket
846;847;sea;914;-1;-1;-1;-1;Kiis Gwaay-Gwaay Haanas
830;831;sea;917;-1;-1;-1;-1;Prince of Wales-Kupreanof
830;828;sea;917;-1;-1;-1;-1;Prince of Wales-Ketchikan
831;828;sea;917;-1;-1;-1;-1;Kupreanof-Ketchikan
833;832;sea;919;-1;-1;-1;-1;Juneau-Sitka
833;834;sea;919;-1;-1;-1;-1;Juneau-Chilkoot
833;835;sea;919;-1;-1;-1;-1;Juneau-Southern Lakes
848;849;sea;1719;-1;-1;-1;-1;Whitehorse-Kluane
833;831;sea;919;-1;-1;-1;-1;Juneau-Kupreanof
832;831;sea;919;-1;-1;-1;-1;Sitka-Kupreanof
895;888;;861;-1;-1;-1;-1;Hudson Strait
875;876;portage;758;-1;-1;-1;-1;Cedar Lake-Lake Winnepegosis
877;876;portage;758;-1;-1;-1;-1;Lake Manitoba-Lake Winnepegosis
758;583;major_river;878;-1;-1;-1;-1;Little Saskatchewan-Interlake
1997;2093;major_river;871;-1;-1;-1;-1;St Paul-Edmonton
1997;2095;major_river;871;-1;-1;-1;-1;St Paul-Lloydminster
731;2095;major_river;871;-1;-1;-1;-1;Beaver River-Lloydminster
731;1996;major_river;872;-1;-1;-1;-1;Beaver River-Battleford
2101;1996;major_river;872;-1;-1;-1;-1;Prince Albert-Battleford
2101;574;major_river;872;-1;-1;-1;-1;Prince Albert-Saskatoon
2101;2103;major_river;923;-1;-1;-1;-1;Prince Albert-Nipawin
768;2103;major_river;873;-1;-1;-1;-1;Waskesiu-Nipawin
759;663;major_river;874;-1;-1;-1;-1;Paskoyac-Swan River
866;574;major_river;923;-1;-1;-1;-1;Dundurn-Saskatoon
576;574;major_river;924;-1;-1;-1;-1;Javia-Saskatoon
575;574;major_river;924;-1;-1;-1;-1;Piapot-Saskatoon
575;733;major_river;924;-1;-1;-1;-1;Piapot-Kindersley
575;573;major_river;925;-1;-1;-1;-1;Piapot-Hoodoos
495;573;major_river;925;-1;-1;-1;-1;Medicine Hat-Hoodoos
498;573;major_river;926;-1;-1;-1;-1;Vulcan-Hoodoos
496;573;major_river;926;-1;-1;-1;-1;Warner-Hoodoos
1252;1251;major_river;955;-1;-1;-1;-1;Lafayette-Atchafalaya
1252;1264;major_river;955;-1;-1;-1;-1;Lafayette-St Landry
515;510;major_river;1617;-1;-1;-1;-1;Wallawalla-Whitman
327;326;major_river;947;-1;-1;-1;-1;McAlester-Arkansas-Tallasi
327;324;major_river;947;-1;-1;-1;-1;McAlester-Arkansas-Niukonska
324;1729;major_river;961;-1;-1;-1;-1;Niukonska-Arkansas-Payne
1524;880;portage;257;-1;-1;-1;-1;Lake Superior-Rainy River Portage #Comment this line out to disable viking hellworld
