###ÄNSI
1899200={
	name="Sunny"
}

1899230={
	name="Pauloosie"
	dynasty=1576000
	culture=inuit
	religion=celtic_pagan
	diplomacy=2
	martial=6
	stewardship=6
	intrigue=4
	learning=6
	trait=fortune_builder
	trait=greedy
	trait=brave
	father=1899215
	2652.12.14={birth=yes}
	2694.12.12={death=yes}
}

1899231={
	name="Tingiyok"
	female=yes
	dynasty=1576000
	culture=inuit
	religion=celtic_pagan
	martial=4
	diplomacy=4
	stewardship=5
	intrigue=4
	learning=5
	trait=charismatic_negotiator
	trait=kind
	trait=proud
	father=1899215
	2656.11.19={birth=yes}
	2696.12.12={death=yes}
}

1899232={
	name="Everett"
	dynasty=1520058
	culture=mikmaq
	religion=celtic_pagan
	trait=elusive_shadow
	2633.3.3={birth=yes}
}

1899234={
	name="Laurent"
	dynasty=1755020 #de Graff
	culture=acadien
	religion=pelagic
	martial=7
	diplomacy=4
	stewardship=6
	intrigue=3
	learning=4
	trait=skilled_tactician
	trait=duelist
	trait=scarred
	trait=ambitious
	trait=honest
	trait=brave
	trait=greedy
	2633.12.13={birth=yes}
	2660.12.20={effect={add_lover=1899235 }}
	2660.12.24={add_spouse=1899235}
	2660.12.25={ wealth = 500 }
}

1899235={
	name="Anne"
	female=yes
	dynasty=1755021 #I swear this is her actual name
	culture=acadien
	religion=pelagic
	martial=6
	diplomacy=4
	stewardship=5
	intrigue=5
	learning=3
	trait=tough_soldier
	trait=duelist
	trait=wroth
	trait=brave
	trait=cruel
	2641.8.28={birth=yes}
	2660.12.20={effect={add_lover=1899234 }}
	2660.12.24={add_spouse=1899234}
}
1899236={
	name="Ishpashtien"
	dynasty=1609000 #Tshkapesh
	culture=innu
	religion=ursuline
	martial=7
	diplomacy=4
	stewardship=6
	intrigue=3
	learning=4
	trait=skilled_tactician
	trait=duelist
	trait=scarred
	trait=ambitious
	trait=honest
	trait=brave
	trait=greedy
	father=1899238
	mother=1899239
	2599.12.13={birth=yes}
	2620.12.24={add_spouse=1899237}
	2652.1.1={death=yes}
}
1899237={
	name="Ciseakup"
	female=yes
	dynasty=none
	culture=innu
	religion=ursuline
	martial=7
	diplomacy=4
	stewardship=6
	intrigue=3
	learning=4
	trait=fortune_builder
	trait=gardener
	trait=drunkard
	trait=ambitious
	trait=honest
	trait=brave
	trait=greedy
	2600.12.30={birth=yes}
	2620.12.24={add_spouse=1899236}
	2677.11.29={death=yes}
}
1899238={
	name="Mahtn"
	dynasty=1609000 #Tshkapesh
	culture=innu
	religion=ursuline
	martial=7
	diplomacy=4
	stewardship=6
	intrigue=3
	learning=4
	trait=underhanded_rogue
	trait=falconer
	trait=scarred
	trait=ambitious
	trait=honest
	trait=temperate
	trait=gluttonous
	2543.12.13={birth=yes}
	2570.12.24={add_spouse=1899239}
	2620.11.29={death=yes}
}
1899239={
	name="Adèle"
	female = yes
	#dynasty=1755020 #de Graff
	culture=acadien
	religion=ursuline
	martial=2
	diplomacy=8
	stewardship=6
	intrigue=3
	learning=10
	trait=mastermind_theologian
	trait=mystic
	trait=strong
	trait=temperate
	trait=honest
	trait=adventurer
	trait=content
	2547.12.13={birth=yes}
	2570.12.24={add_spouse=1899238}
	2646.11.29={death=yes}
}
