#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
EVTOPTA91375;Everything for you, my love.;Tout ce que tu voudras, mon amour.;Natürlich, meine Liebe.;;Todo para ti, mi amor.;;;;;;;;;x
EVTDESC91376;My spouse came to me with shocking news. Apparently [FromFrom.GetName] has tried to seduce my beloved [From.GetHusbandWife] and turn [From.GetHerHim] against me.;Ma douce moitié est venue me voir avec de terribles nouvelles. Il semble que [FromFrom.GetName] a tenté de la séduire et de la dresser contre moi !;Mein Gespons überbrachte mir schockierende Neuigkeiten. Scheinbar versuchte [FromFrom.GetName], mein Gespons zu verführen und [From.GetHerHim] gegen mich aufzuhetzen.;;Mi esposo vino a mí con noticias espantosas. ;;;;;;;;;x
EVTDESC7950;It became clear to me when hearing about [Root.PlotTarget.GetTitledName]'s decadent ways that the right place to kill [Root.PlotTarget.GetName] is in [Root.PlotTarget.HerHis] own palace...;Entendant parler des mœurs décadentes de [Root.PlotTarget.GetTitledName], il est devenu clair pour moi qu'il fallait assassiner [Root.PlotTarget.GetName] dans son propre palais...;Als ich von der Dekadenz von [Root.PlotTarget.GetTitledName] erfuhr, wurde mir klar, dass [Root.PlotTarget.GetName] in [Root.PlotTarget.HerHis] Palast ermordet werden muss …;;Quedó claro para mí al escuchar acerca de las maneras decadentes de[Root.PlotTarget.GetTitledName] que es el lugar adecuado para matar a [Root.PlotTarget.GetName] en [Root.PlotTarget.HerHis] propio palacio ;;;;;;;;;x
EVTOPTA7950;My co-conspirators will bribe [Root.PlotTarget.GetHerHis] servants to aid us.;Mes co-conspirateurs paieront ses serviteurs, ils nous aideront.;Meine Mitverschwörer werden [Root.PlotTarget.GetHerHis] Diener bestechen, damit sie uns helfen.;;Mis co-conspiradores sobornará a [Root.PlotTarget.GetHerHis] siervos para ayudarnos;;;;;;;;;x
EVTOPTB7950;I will bribe [Root.PlotTarget.GetHerHis] servants to assist us.;Je paierai ses serviteurs, ils nous aideront.;Ich werde [Root.PlotTarget.GetHerHis] Diener bestechen, damit sie uns helfen.;;Voy a sobornar [Root.PlotTarget.GetHerHis] siervos para ayudarnos.;;;;;;;;;x
EVTOPTC7950;I will replace [Root.PlotTarget.GetHerHis] servants with my own.;Je remplacerai ses serviteurs par les miens.;Ich werde [Root.PlotTarget.GetHerHis] Diener durch meine ersetzen.;;Voy a sustituir a [Root.PlotTarget.GetHerHis] siervo con mi propio servidor.;;;;;;;;;x
EVTDESC7951;All of a sudden, I realized that such decadent fools surely are the most vulnerable in their own palace.;Soudainement, je compris que de tels êtres décadents étaient très vulnérables dans leur propre palais.;Plötzlich wurde mir klar, dass derart dekadente Dummköpfe in ihrem eigenen Palast am verwundbarsten sind.;; De repente, me di cuenta de que tan decadente tontos sin duda son los más vulnerables en su propio palacio.;;;;;;;;;x
EVTDESC7953;[From.GetTitledName] has sent me the necessary funds to bribe [From.PlotTarget.GetTitledName]'s servants to join our cause.;[From.GetTitledName] m'a envoyé l'argent nécessaire pour rallier les serviteurs de [From.PlotTarget.GetTitledName] à notre cause.;[From.GetTitledName] hat mir das nötige Geld für die Bestechung der Diener von [From.PlotTarget.GetTitledName] geschickt.;;Me ha enviado los fondos necesarios para sobornar a los siervos de [From.PlotTarget.GetTitledName] para afiliarse a nuestra causa;;;;;;;;;x
EVTDESC7954;[From.GetTitledName] has refused to give me the necessary funds for bribes to have [From.PlotTarget.GetTitledName] killed in his own palace.;[From.GetTitledName] a refusé de m'envoyer l'argent nécessaire pour faire tuer [From.PlotTarget.GetTitledName] dans son propre palais.;[From.GetTitledName] lehnte es ab, mir das Bestechungsgeld zu geben, das für die Ermordung von [From.PlotTarget.GetTitledName] im eigenen Palast nötig wäre.;; [From.GetTitledName] ha rechazado darme los fondos necesarios para sobornos para hacer matar a [From.PlotTarget.GetTitledName] en su propio palacio.;;;;;;;;;x
EVTDESC7955;How wonderful it is to just sit at home and enjoy the 'simple' things in life. Servants, more wine please! More food too for that matter!;Quel plaisir de rester chez soi à profiter des plaisirs simples de la vie. Serviteurs, du vin ! Et quelque chose à manger pour accompagner !;Wunderbar, zu Hause zu sein und das einfache Leben genießen zu können! Diener, mehr Wein bitte! Und noch etwas zu Essen, wo wir gerade dabei sind!;; Que maravilloso es solo ester en casa y disfrutar las cosas 'simples' en la vida¡Servidor más vino por favor! ¡Más comida también!;;;;;;;;;x
EVTTOOLTIP7955;[This.GetTitledName] will no longer be a stain on my dynasty!;[This.GetTitledName] ne sera plus la honte de ma dynastie !;[This.GetTitledName] wird nicht länger ein Schandfleck meiner Dynastie sein!;;[This.GetTitledName] ya no será una mancha por mi dinastía!;;;;;;;;;x
EVTOPTA7955;That's right, do hurry!;Tout à fait, dépêchez-vous !;Richtig, Beeilung!;;Correcto,¡date prisa!;;;;;;;;;x
EVTOPTB7955;Why is my servant running towards me?;Pourquoi ce serviteur court-il vers moi ?;Warum eilt mein Diener im Laufschritt auf mich zu?;;Porque mi siervo está corriendo hacia mí?;;;;;;;;;x
EVTDESC7956;A hidden dagger held by my own servant, is this really how I must die? [Root.Religion.GetRandomGodName] forgive me, for I have sinned...;Une dague cachée par un de mes serviteurs... Vais-je vraiment mourir ainsi ? Que [Root.Religion.GetRandomGodName] me pardonne, j'ai péché...;Eine versteckte Klinge, von des eigenen Dieners Hand - so soll ich sterben? [Root.Religion.GetRandomGodName] vergib mir, denn ich habe gesündigt …;; ¿Una daga escondida sostenida por mi propio siervo, ¿Esto es cómo voy a morir? [Root.Religion.GetRandomGodName] Perdóname, he pecado;;;;;;;;;x
EVTOPTA7956;Death to [FromFrom.GetTitledFirstName]!;Mort à [FromFrom.GetTitledFirstName] !;Stirb, [FromFrom.GetTitledFirstName]!;;Muerte a [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA7957;Why? Who? [Root.Religion.GetRandomGodName]...;Pourquoi ? Qui ? [Root.Religion.GetRandomGodName]...;Warum? Wer? [Root.Religion.GetRandomGodName] ...;;Porque? Quien? ;;;;;;;;;x
EVTDESC7958;I was sitting comfortably along with my beautiful servants, enjoying a cup of expensive wine after a grand dinner, when suddenly I saw one of my servants dashing towards me with a dagger in her hand. I jumped away just in time and my guards caught her before she had the time to strike again. Before she was taken care of, she uttered the name of the one behind the plan.;J'étais en train de passer un bon moment avec mes magnifiques servantes, je buvais une coupe de bon vin après un somptueux repas, quand soudain je vis l'une d'elles foncer vers moi, une dague à la main. J'eus tout juste le temps de l'esquiver, mes gardes s'emparèrent d'elle avant qu'elle eût le temps de frapper à nouveau. Avant de mourir, elle prononça le nom de celui qui était derrière ce complot.;Als ich gerade mit meinen hübschen Bediensteten beisammensaß, genüsslich teuren Wein schlürfend nach festlichem Mahle, rannte plötzlich eine Dienerin auf mich zu, den Dolch in der Hand. Ich sprang auf, gerade noch rechtzeitig, und meine Wachen konnten sie überwältigen. Bevor man sie unschädlich machte, gab sie noch den Namen der Person preis, die hinter dem Plan steckte.;;Estaba sentado tan tranquilamente con mis hermosas sirvientas, disfrutando de una copa de vino caro tras la gran cena cuando, de repente, vi a una de ellas correr hacia mí con un puñal en mano. Pegué un brinco justo a tiempo y mis guardas la cogieron antes de que pudiera atacarme de nuevo. Antes de que se ocuparan de ella, pronunció el nombre de quien había ideado el plan.;;;;;;;;;x
EVTOPTA7958;Damn you, [FromFrom.GetTitledFirstName]!;Maudit soi [FromFrom.GetTitledFirstName] !;Verdammt sollst du sein, [FromFrom.GetTitledFirstName]!;;¡Maldita sea [FromFrom.GetTitledFirstName]!;;;;;;;;;x 
EVTDESC7959;I was sitting comfortably along with my beautiful servants, enjoying a cup of expensive wine after a grand dinner, when suddenly I saw one of my servants dashing towards me with a dagger in her hand. I jumped away just in time and my guards caught her before she had the time to strike again. She has been taken care of now, but I fear she was only a pawn. Who was behind this plan?;J'étais en train de passer un bon moment avec mes magnifiques servantes, je buvais une coupe de bon fin après un somptueux repas, quand soudain je vis l'une d'elles foncer vers moi, une dague à la main. J'eus tout juste le temps de l'esquiver, mes gardes s'emparèrent d'elle avant qu'elle eût le temps de frapper à nouveau. Elle a été mise à mort, mais je pense que ce n'était qu'une exécutante. Qui donc tire les ficelles ?;Als ich gerade mit meinen hübschen Bediensteten beisammensaß, genüsslich teuren Wein schlürfend nach festlichem Mahle, rannte plötzlich eine Dienerin auf mich zu, den Dolch in der Hand. Ich sprang auf, gerade noch rechtzeitig, und meine Wachen konnten sie überwältigen. Sie wurde unschädlich gemacht und doch war sie nur das Werkzeug. Wer steckt hinter dem Plan?;;Estaba sentado tan tranquilamente con mis hermosas sirvientas disfrutando de una copa de vino caro tras la gran cena cuando, de repente, vi a una de ellas correr hacia mí con un puñal en mano. Pegué un brinco justo a tiempo y mis guardas la cogieron antes de que pudiera atacarme de nuevo. Ya se encargaron de ella, pero me temo de que era simplemente un títere. ¿Quién estaba detrás de ese plan?;;;;;;;;;x
EVTOPTA7959;I fear I shall never know.;Je ne le saurai sans doute jamais.;Ich fürchte, das werde ich nie erfahren.;;Me temo que nunca lo sabré.;;;;;;;;;x
EVTDESC7960;My co-conspirator, [From.GetTitledName], has let me know that [Root.PlotTarget.GetTitledName] will die in [Root.PlotTarget.GetHerHis] own palace, with a dagger taken to [Root.PlotTarget.GetHerHis] throat by [Root.PlotTarget.GetHerHis] own servants.;Mon co-conspirateur [From.GetTitledName] m'a fait savoir que [Root.PlotTarget.GetTitledName] allait mourir dans son propre palais, la gorge tranchée par une de ses servantes.;Mein Mitverschwörer [From.GetTitledName] hat mir mitgeteilt, dass [Root.PlotTarget.GetTitledName] in [Root.PlotTarget.GetHerHis] eigenen Palast sterben wird, durch einen Dolch an [Root.PlotTarget.GetHerHis] Kehle, der von [Root.PlotTarget.GetHerHis] eigenen Dienern geführt werden wird.;;;;;;;;;;;x
EVTOPTA7960;This is what decadence brings you!;Voilà ce qu'apporte la décadence !;Das ist die Konsequenz der Dekadenz!;;Esto es lo que conlleva la decadencia!;;;;;;;;;x
EVTDESC7961;[From.GetTitledName] approves of my idea to have [From.PlotTarget.GetTitledName] killed by [From.PlotTarget.GetHerHis] own servants. [Root.Religion.GetRandomGodName] will surely forgive me due to [From.PlotTarget.GetName]'s decadent ways.;[From.GetTitledName] approuve mon plan de faire assassiner [From.PlotTarget.GetTitledName] par une de ses servantes. [Root.Religion.GetRandomGodName] nous pardonnera certainement en raison de la décadence de [From.PlotTarget.GetName].;[From.GetTitledName] teilt meine Ansicht, dass [From.PlotTarget.GetTitledName] von [From.PlotTarget.GetHerHis] eigenen Dienern ermordet werden soll. [Root.Religion.GetRandomGodName] wird mir bestimmt vergeben, denn ich bereite der Dekadenz von [From.PlotTarget.GetName] ein Ende.;;[From.GetTitledName] aprueba mi idea de asesinar a [From.PlotTarget.GetTitledName] mediante [From.PlotTarget.GetHerHis] propias sirvientas. Seguro que [Root.Religion.GetRandomGodName] me perdonará por las formas decadentes de [From.PlotTarget.GetName];;;;;;;;;x
EVTDESC7962;[From.GetTitledName] has let me know that the plot to kill [From.PlotTarget.GetTitledName] is proceeding well. Several of [From.PlotTarget.GetHerHis] servants are loyal to our cause and we will be ready to strike in one month's time.;[From.GetTitledName] m'a fait savoir que notre projet de faire assassiner [From.PlotTarget.GetTitledName] se déroule bien. Plusieurs de ses servantes sont ralliées à notre cause et nous serons prêts à frapper d'ici un mois.;[From.GetTitledName] teilte mir mit, dass das Komplott zur Ermordung von [From.PlotTarget.GetTitledName] Fortschritte macht. Einige [From.PlotTarget.GetHerHis] Diener stehen auf unserer Seite und werden innerhalb eines Monats bereit zum Zuschlagen sein.;;[From.GetTitledName] me ha comunicado que la conspiración para asesinar a [From.PlotTarget.GetTitledName] avanza con éxito. Varias de [From.PlotTarget.GetHerHis] sirvientas son leales a nuestra causa y en cuestión de un mes estaremos listos para dar el golpe.;;;;;;;;;x
EVTDESC7963;Success! [From.GetTitledName] died. Unfortunately, my complicity was discovered.;C'est une réussite ! [From.GetTitledName] vient de trépasser. Malheureusement, mon implication a été découverte.;Hurra! [From.GetTitledName] ist tot. Leider wurde meine Mittäterschaft bekannt.;;¡Éxito! [From.GetTitledName] ha muerto. Desafortunadamente, mi complicidad fue descubierta.;;;;;;;;;x
EVTOPTA7963;Good. But... bad.;Une bonne et une mauvaise nouvelle...;Gut. Das heißt ... schlecht.;; Bien. Pero.. Mal;;;;;;;;;x
EVTDESC7964;Success! [From.GetTitledName] died not knowing the name of [From.GetPossPronoun] killer. The bribed servants have been taken care of and will not speak of what happened this day.;C'est une réussite ! [From.GetTitledName] vient de trépasser sans connaître le nom de son assassin. Les servantes soudoyées ont été réduites au silence et ne révèleront rien de ce qui s'est passé.;Frohe Kunde! [From.GetTitledName] starb, ohne den Namen [From.GetPossPronoun] Mörders zu erfahren. Um die bestochenen Diener hat man sich gekümmert. Sie werden schweigen wie ein Grab.;;¡Éxito! [From.GetTitledName] ha muerto sin saber el nombre de [From.GetPossPronoun] asesino. Nos hemos ocupado de las sirvientas sobornadas y no hablarán de lo sucedido ese día.;;;;;;;;;x
EVTOPTA7964;I shall celebrate this... modestly.;Il faut fêter cela... discrètement.;So will ich frohlocken und feiern ... in Maßen.;;Yo debo celebrarlo... modestamente;;;;;;;;;x
EVTDESC7965;Failure! [From.GetTitledName] overheard our servants talking and uncovered our plot to kill [From.GetHerHim].;C'est un échec ! [From.GetTitledName] a entendu les servantes corrompues discuter et a découvert notre projet de l'éliminer !;Fehlschlag! [From.GetTitledName] belauschte unsere Diener und bekam Wind von unserem Plan, [From.GetHerHim] zu ermorden.;;¡Fracaso! [From.GetTitledName] oyó a nuestras sirvientas hablar y descubrió nuestra conspiración par matar [From.GetHerHim].;;;;;;;;;x
EVTOPTA7965;This is bad.;Cela ne va pas.;Das ist gar nicht gut.;;Malíssima;;;;;;;;;x
EVTDESC7966;Failure! [From.GetTitledName] realized something was off and had the servants taken away. However, he was unable to uncover our plot.;C'est un échec ! [From.GetTitledName] a senti que quelque chose n'allait pas et a fait éloigner ses servantes. Mais personne ne sait qui tire les ficelles.;Fehlschlag! [From.GetTitledName] wurde misstrauisch und ließ die Diener entfernen. Allerdings hat er von unserem Plan nichts erfahren.;;¡Fracaso! [From.GetTitledName] se percató de que pasaba algo y se llevaron a las sirvientas. De todos modos, fue incapaz de descubrir nuestra conspiración.;;;;;;;;;x
title_appointed_regent;Designated Regent;Régent désigné;Designierter Regent;; Regente Nombrado;;;;;;;;;x
title_appointed_regent_desc;This character will become the Regent if one is needed.;Ce personnage deviendra régent s'il en faut un.;Diese Person wird im Bedarfsfall zum Regenten ernannt.;;Este personaje se convertirá en el Regente si es necesario;;;;;;;;;x
INTERACTION_REQ_REC_IS_DJ_LIEGE_OR_ADJ;[Recipient.GetBestName] must be a neighbor or the De Jure liege of my Capital.;[Recipient.GetBestName] doit être soit un voisin, soit le suzerain de jure de ma capitale.;[Recipient.GetBestName] muss ein Nachbar oder der De-Jure-Lehnsherr meiner Hauptstadt sein.;;[Recipient.GetBestName] tiene que ser un vecino o el señor feudal De Jure de mi Capital.;;;;;;;;;x
WELCOME_TEXT;In the game, you can play as any medieval ruler at any point in time, from a lowly count to a great emperor. When your character dies, you will need an heir to take over, and so on, down the ages. Unlike most other games, the starting situation is historical - and thus completely unbalanced. Check the estimated difficulty of a ruler before you start playing!;En jeu, vous pouvez jouer le rôle de n'importe quel souverain médiéval à n'importe quelle période, du petit comte de province jusqu'au grand empereur. Lorsque votre personnage meurt, votre héritier prend la relève, et ainsi de suite à travers les âges. À la différence des autres jeux, le contexte de départ est historique, et donc totalement déséquilibré. Pensez à vérifier la difficulté associée à un souverain avant de l'incarner !;Im Spiel könnt Ihr jeden mittelalterlichen Herrscher zu jedem beliebigen Zeitpunkt auswählen, vom einfachen Grafen bis zum großen Kaiser. Jedes Mal, wenn Eure Spielfigur stirbt, benötigt Ihr einen Erben, der Euer Erbe weiterführt, und so schreitet Ihr fort durch die Zeitalter. Anders als bei anderen Spielen ist die Ausgangssituation historisch und damit absolut unausgewogen. Beachtet vor dem Start eines neuen Spiels die Einschätzung des Schwierigkeitsgrad des Herrschers, den Ihr auswählen möchtet!;;En el juego, puedes jugar como gobernante medieval de cualquier época, ya sea como modesto conde o como gran emperador. Cuando muera tu personaje, precisarás un heredero que tome el poder, y así sucesivamente a lo largo del tiempo. A diferencia de la mayoría de juegos, la situación inicial es histórica, por lo tanto totalmente desequilibrada. ¡Comprueba la estimación de dificultad de un gobernante antes de empezar a jugar!;;;;;;;;;x
tribal_duke;High Chief;Haut Chef;Großhäuptling;;Grand Chef;;;;;;;;;x
tribal_duke_female;High Chieftess;Haute Cheftaine;Großhäuptling;;Grand cheftaine;;;;;;;;;x
tribal_duchy_of;High Chiefdom of;Haute Chefferie de;Großhäuptlingstum von;;Grande chefferie de;;;;;;;;;x
tribal_duchy_of_norse;Jarldom of;Jarldom de;Jarltum von;;ComtÈ de;;;;;;;;;x
tribal_count_west_african;Farin;Farin;Farin;;Farin;;;;;;;;;x
tribal_count_female_west_african;Farina;Farina;Farina;;Farina;;;;;;;;;x
tribal_county_of_west_african;Sheikhdom of;Cheikat de;Scheichtum von;;Cheikat de;;;;;;;;;x
tribal_county_west_african;Sheikhdom;Cheikat;Scheichtum;;Cheikat;;;;;;;;;x
tribal_duke_west_african;Farbas;Farbas;Farbas;;Farbas;;;;;;;;;x
tribal_duke_female_west_african;Farba;Farba;Farba;;Farba;;;;;;;;;x
tribal_duchy_of_west_african;Emirate of;Émirat de;Emirat von;;…mirat de;;;;;;;;;x
tribal_duchy_west_african;Emirate;Émirat;Emirat;;…mirat;;;;;;;;;x
tribal_king_west_african;Mansa;Mansa;Mansa;;Mansa;;;;;;;;;x
tribal_king_female_west_african;Sultana;Sultane;Sultanin;;Sultane;;;;;;;;;x
tribal_kingdom_of_west_african;Sultanate of;Sultanat de;Sultanat von;;Sultanat de;;;;;;;;;x
tribal_kingdom_west_african;Sultanate;Sultanat;Sultanat;;Sultanat;;;;;;;;;x
tribal_baron_mongol;Taishi;Taishi;Taishi;;Taishi;;;;;;;;;x
tribal_barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x
EVTDESC_CM_11;With foreign rulers come foreign influences. The people in the province of [Root.GetName] have assimilated new customs from afar, blending them with old Slavic traditions. They have also taken to calling themselves 'Rus' or 'Russians'.;Les souverains étrangers apportent leur propre influence. Le peuple de la province de [Root.GetName] a intégré de nouvelles coutumes venues de l'étranger et les combine avec d'anciennes traditions slaves. Ils se font désormais appeler 'Rus', ou 'Russes'.;Fremde Herrscher bringen fremde Einflüsse mit sich. Das Volk in der Provinz [Root.GetName] hat neue, fremde Gebräuche von weither übernommen und sie mit der slawischen Kultur verschmolzen. Sie bezeichnen sich nun als 'Rus' bzw. 'Russen'.;;Con gobernantes extranjeros llegan influencias extranjeras. La gente de la provincia de [Root.GetName] ha asimilado nuevas costumbres que vienen de lejos y las han mezclado con las viejas tradiciones eslavas. Ahora se nombran a sí mismos “rus” o “rusos”.;;;;;;;;;x
EVTOPTA_CM_11;New, but still recognizable.;Rien de vraiment nouveau, en somme.;Neu, aber nicht ohne Ähnlichkeiten.;;Nuevo, pero aún reconocible.;;;;;;;;;x
convert_to_russian;Embrace Russian Culture;Adopter la culture russe;Nehmt die russische Kultur an;;Abrazar la cultura rusa;;;;;;;;;x
convert_to_russian_desc;Many of our subjects are adopting new ways and traditions brought in by foreigners, integrating them with local customs. Perhaps we should do the same...;Plusieurs de nos sujets ont adopté de nouvelles traditions apportées par des étrangers, les intégrant aux coutumes locales. Peut-être devrions-nous faire de même...;Viele Untertanen übernehmen die Gebräuche und Traditionen der Fremden und vermischen sie mit der lokalen Kultur. Vielleicht sollten wir dasselbe tun …;;Muchos de nuestros súbditos están adoptando nuevas costumbres y tradiciones traídas por extranjeros y las integran con las costumbres locales. Quizá deberíamos hacer lo mismo...;;;;;;;;;x
EVTDESC_CM_2102;You grow weary of spending so much time in your castle, performing tedious duties of government and diplomacy. Meanwhile, [From.GetTitledFirstName] keeps telling you of all the interesting adventures he experiences in your service. But perhaps you could join him next time he rides out...;Vous vous lassez de passer tant de temps au château à mener à bien de fastidieuses tâches gouvernementales et diplomatiques. Pendant ce temps, [From.GetTitledFirstName] vous parle sans cesse de toutes ses aventures palpitantes. Peut-être pourriez-vous l'accompagner lors de sa prochaine expédition...;Die ermüdenden Aufgaben der Diplomatie und die Regierungsgeschäfte bereiten Euch keine Freude mehr. [From.GetTitledFirstName] hingegen spricht immerzu von den interessanten Abenteuern, die er in Euren Diensten erlebt. Vielleicht solltet Ihr ihn das nächste Mal begleiten ...;;Te has hartado de pasar tanto tiempo en tu castillo llevando a cabo aburridas tareas de gobierno y diplomacia. Mientras tanto, [From.GetTitledFirstName] sigue contándote las interesantes aventuras que vive estando a tu servicio. Quizá podrías unirte a él en su próxima salida...;;;;;;;;;x
EVTOPTA_CM_2102;Yes, I think I will!;Oui, bonne idée !;Ja, das werde ich wohl tun!;;Sí, creo que lo haré!;;;;;;;;;x
EVTOPTB_CM_2102;No, I must tend to my duties as [Root.GetTitle].;Non, je dois remplir mes fonctions de [Root.GetTitle].;Nein, ich muss meine Pflichten als [Root.GetTitle] erfüllen.;; No, tengo que ocuparme con mis deberes como[Root.GetTitle];;;;;;;;;x
