#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#MODIFIER_COMBAT_RATING;Combat Rating;Classement de combat;Kampfkraft;;Clasificación de combate;;;;;;;;;x
CR_DIFF_LOWER_THAN;Combat Rating Difference between §Y$FIRST$§! and §Y$SECOND$§! lower than §Y$VAL$§!;La différence de classement de combat entre §Y$FIRST$§! et §Y$SECOND$§! est inférieure à §Y$VAL$§ !;Kampfkraftunterschied zwischen §Y$FIRST$§! und §Y$SECOND$§! niedriger als §Y$VAL$§!;;Clasificación de combate entre §Y$FIRST$§!y §Y$SECOND$§! §Y$VAL$§! menor que §Y$VAL$§!;;;;;;;;;x
EVTOPTB_WOL_500;I do so love teasing the dear [target_priest.GetManWoman]...;Je dois avouer que j'adore tenter ce/cette [target_priest.GetManWoman]...;Es macht soviel Spaß, den/die [target_priest.GetManWoman] heißzumachen...;;Me encanta atormentar al buen/ a la buena [target_priest.GetManWoman]. ..;;;;;;;;;x
EVTDESC_WOL_520;Recently, I have amused myself with seducing a handsome young guard. He follows me around like a puppy now... a very big, muscular puppy!;Récemment, je passe mes heures à séduire un jeune garde avenant. Il me suit comme un chiot désormais... un chiot très musclé et imposant !;Vor Kurzem habe ich mir dadurch Vergnügen verschafft, indem ich einen hübschen jungen Wachsoldaten verführte. Jetzt folgt er mir überall hin, wie ein Hündchen... ein ziemlich großes und muskelbepacktes Hündchen!;;Recientemente, me he divertido seduciendo a un guapo guardia joven. Ahora me sigue como un cachorro.. ¡un gran y musculoso cachorro!;;;;;;;;;x
EVTOPTA_WOL_520;Make him a squire and keep him as my lover...;En faire un écuyer et le garder comme mon amant...;Ich ernenne ihn zu einem Adeligen und behalte ihn als Liebhaber...;;Lo convertiré en escudero y lo guardaré como amante...;;;;;;;;;x
EVTOPTB_WOL_520;Give him a tumble and I'll have the most loyal bodyguard ever!;Se livrer à des petites cabrioles, et en faire le garde le plus loyal de tous les temps !;Ich lasse ihn in mein Bett und verschaffe mir den treuesten Leibwächter überhaupt!;;¡Le daré un revolcón y tendré el más guardaespaldas más leal jamás habido!;;;;;;;;;x
EVTOPTC_WOL_520;It's been fun, but I should aim higher.;C'était divertissant, mais je devrais viser plus haut.;Es hat Spaß gemacht, aber ich sollte mir eine bessere Partie suchen.;;Ha sido muy divertido, pero debería apuntar más alto.;;;;;;;;;x
EVTDESC_WOL_530;I've had my eye on a feisty young scullery maid with huge... intellect for some time now. Though she skillfully dodges the attentions of every boy and greybeard at court, I have her blushing furiously whenever I gaze into her eyes. Seduced and wrapped around my finger, this sharp lass could be very useful...;J'ai mes vues sur une jeune vierge fougueuse dotée d'une énorme... intelligence, et cela fait déjà un moment. Bien qu'elle évite habilement les avances de tous les jeunots et vieux hommes de la cour, elle rougit furieusement chaque fois qu'elle croise mon regard. Une fois séduite et à mes pieds, cette jeune femme pourrait s'avérer très utile...;Ich habe schon seit langem ein Auge auf ein freches, junges Küchenmädchen mit großen... geistigen Fähigkeiten geworfen. Obwohl sie es verstand, sich den Annäherungsversuchen aller Knaben und Graubärte bei Hofe zu entziehen, wird sie rot wie eine Tomate, wenn ich ihr in die Augen blicke. Wenn ich sie verführen und um den Finger wickeln könnte, wäre dieses helle Mädel sicherlich äußerst nützlich...;;Llevo un tiempo fijándome en una joven fregona de enorme... intelecto. Aunque esquiva hábilmente las atenciones de todo muchacho y anciano de la corte, hago que se ruborice furiosamente cuando la miro a los ojos. Seducida y en mis manos, esta zagala perspicaz podría ser muy útil...;;;;;;;;;x
EVTOPTA_WOL_530;Make her a lady and keep her as my mistress...;Faire d'elle une vraie dame, et la garder comme ma maîtresse...;Ich ernenne sie zu einer Adeligen und behalte sie als Liebhaberin...;;La convertiré en una dama y la mantendré como amante...;;;;;;;;;x
EVTOPTB_WOL_530;Bed her and make her mine. What a spy she'll make!;Coucher avec elle, et en faire ma femme. Elle fera une espionne de choix !;Ich bringe sie dazu, mit mir ins Bett zu gehen und halte sie mir warm. Sie wird sich gut als Spionin machen!;;Que la costarás con ella y hacerla mía.¡Qué espía hará!;;;;;;;;;x
EVTOPTC_WOL_530;A common wench? I can do better!;Une gueuse issue du peuple ? Je peux mieux faire !;Ein gewöhnliches Frauenzimmer? Da kann ich etwas Besseres haben.;;¿Una moza común? ¡Puedo aspirar a algo mejor!;;;;;;;;;x
##;;Prendre avantage;Die Gelegenheit ausnutzen;;Aprovechamiento;;;;;;;;x;
##;;J'ai pris pour habitude de visiter les condamnés des donjons, et je me suis rendu compte que l'un(e) d'entre eux, [target_prisoner.GetTitledFirstNameNoRegnal], a l'air franchement ravissant ! [target_prisoner.GetSubjectPronounCap] a sans le moindre doute ses vues sur ma personne, des suites de son extrême solitude et abstinence. Devrais-je prendre avantage de la situation ?;Ich habe es mir zur Gewohnheit gemacht, die Verurteilten im Kerker zu besuchen und festgestellt, dass Häftling [target_prisoner.GetTitledFirstNameNoRegnal] äußerst gutaussehend ist! Es ist offensichtlich, dass [target_prisoner.GetSubjectPronoun] mich begehrt, da [target_prisoner.GetSubjectPronoun] einsam ist und sich nach Zuwendung sehnt. Soll ich die Gelegenheit ausnutzen?;;¡He llevado a visitar los condenados en las mazmorras, y he dado cuenta de que mi prisionero [target_prisoner.GetTitledFirstNameNoRegnal] es realmente atractivo! En soledad y pasando privaciones, [target_prisoner.GetSubjectPronounCap] obviamente me desea. ¿Debo tomar ventaja?;;;;;;;;x;
##;;Prendre avantage ? Je suis [Root.GetMasterMistress] ici !;Die Gelegenheit ausnutzen? Als [Root.GetMasterMistress] nehme ich mir, was ich will!;;¿Aprovecharme? ¡Aquí mando yo!;;;;;;;;x;
##;;[target_prisoner.GetTitledFirstNameNoRegnal] reçoit une proposition... pour un peu de soulagement !;[target_prisoner.GetTitledFirstNameNoRegnal] wird Erleichterung angeboten... allerdings keine Hafterleichterung!;;Ofrecer escape a [target_prisoner.GetTitledFirstNameNoRegnal]. .. ¡aunque no de la prisión!;;;;;;;;x;
##;;Ceci est bien au-dessus de moi.;Das ist meiner unwürdig.;;Es indigno de mí.;;;;;;;;x;
##;;Mon geôlier, [From.GetTitledFirstName] a pris pour habitude de me visiter dans ma cellule de prison pour me tenter et me séduire sans cesse. Je le jure, [From.GetSubjectPronoun] porte moins de vêtements à chaque visite !;Mein Kerkermeister [From.GetTitledFirstName] besucht mich oft in meiner Zelle und treibt mich mit grausamen Neckereien und Avancen zum Wahnsinn – ich könnte schwören, dass [From.GetSubjectPronoun] jedes Mal weniger Kleidung trägt!;;Mi carcelero [From.GetTitledFirstName] ha estado visitando mi celda a menudo, volviéndome loco con sus crueles burlas y coqueteos. ¡Juro que cada vez lleva menos ropa!;;;;;;;;x;
##;;Céder à ses avances. J'ai besoin de soulagement !;Ich gebe den Avancen nach. Ich muss mir Erleichterung verschaffen!;;Ceder ante sus avances. ¡Debo tener alivio!;;;;;;;;x;
##;;Jamais ! Ma haine surpasse de loin mon désir !;Niemals! Hass ist stärker als Lust!;;¡Nunca! ¡El odio es más fuerte que el deseo!;;;;;;;;x;
##;;Mettre fin à mon confinement pour une seule nuit d'extase avec [From.GetTitledFirstNameNoRegnal];Ich streife die Fesseln ab für eine einzige Nacht der Ekstase mit [From.GetTitledFirstNameNoRegnal];;Abandono mi reclusión durante una sola noche de felicidad con [From.GetTitledFirstNameNoRegnal]. ;;;;;;;;x;
##;;J'ai enfilé ma tenue de cuir rouge, et j'ai fait en sorte que [From.GetTitledFirstNameNoRegnal] soit sorti(e) de sa cellule et amené(e) dans mes quartiers pour une nuit d'extase et de cabrioles !;Ich legte meine rote Lederbekleidung an und ließ [From.GetTitledFirstNameNoRegnal] aus der Zelle in Ketten zu mir bringen für eine Nacht voller Spaß und Spiel!;;¡Vestí mi traje de cuero rojo e hice que trajeran a [From.GetTitledFirstNameNoRegnal], con grilletes, desde su celda para una noche de diversión y juegos!;;;;;;;;x;
##;;Dominez les ennemis !;Beherrsche deine Feinde!;;¡Domina a los enemigos!;;;;;;;;x;
EVTDESC_WOL_560;I see her flit past out of the corner of my eye, naked and red-haired, giggling - the nymph who lives in the garden. Always teasing me, never showing herself clearly. What must I do to win her heart?;Je la vois du coin de l'œil, alors qu'elle se balade nue et rousse comme elle est, toute souriante. Il s'agit de la nymphe qui vit dans le jardin. Elle me taquine toujours, sans jamais se montrer clairement. Que dois-je faire pour gagner son cœur ?;Aus den Augenwinkeln erhasche ich einen Blick auf sie, wie sie nackt, rothaarig und kichernd an mir vorbeisaust – die Nymphe, die im Garten wohnt. Immer neckt sie mich und zeigt sich doch nie ganz. Wie kann ich ihr Herz gewinnen?;;Veo la revolotear allá por el rabillo del ojo, riendo desnuda y pelirroja -la ninfa que vive en el jardín. Siempre atormentándome, sin manifestarse claramente.¿Qué debo hacer para ganar su corazón?;;;;;;;;;x
EVTOPTA_WOL_560;The magnificent old rose bush! She must be its spirit.;Le magnifique vieux rosier ! Elle doit être son esprit.;Der wunderbare alte Rosenbusch! Sie muss sein Geist sein.;;¡El magnífico viejo rosal! Debe ser su espíritu.;;;;;;;;;x
EVTOPTB_WOL_560;Wait... why am I out here in my smallclothes at this hour?;Une seconde... pourquoi suis-je ici, dans mes sous-vêtements à cette heure-ci ?;Moment... weshalb bin ich hier draußen in meiner Unterwäsche, zu dieser Uhrzeit?;;Espera... ¿por qué estoy aquí, en ropa interior, a estas horas?;;;;;;;;;x
EVTTOOLTIP_WoL_561;You enter the rose bush, professing your love.;Vous entrez dans le rosier, confessant ainsi votre amour.;Ihr betretet den Rosenbusch, Eure Liebe beteuernd.;;Entras en el rosal, profesando tu amor.;;;;;;;;;x
EVTDESC_WOL_561;When I staggered out of the rose bush hours had passed, my head filled with carnal but vague memories. I am bleeding all over from the cruel thorns. The voluptuous dryad has exacted her price...;Quand je suis enfin sorti(e) du rosier, plusieurs heures s'étaient déjà écoulées, et ma tête était remplie de mémoires aussi charnelles que vagues. Mon corps entier saigne à cause des cruelles épines. La dryade voluptueuse a pris son dû...;Als ich Stunden später aus dem Rosenbusch taumelte, war mein Kopf voller sinnlicher, aber verschwommener Erinnerungen. Wegen der grausamen Dornen blute ich überall. Die üppige Dryade hat ihren Preis gefordert...;;Cuando salí tambaleándome del rosal, habían pasado horas, con la cabeza llena de recuerdos carnales pero imprecisos. Estoy sangrando por todas partes por las crueles espinas. La dríade voluptuosa ha exigido su precio...;;;;;;;;;x
EVTOPTA_WOL_561;Will I ever see her again?;Pourrai-je la revoir un jour ?;Werde ich sie jemals wiedersehen?;;¿Volveré a verla alguna vez?;;;;;;;;;x
EVTDESC_WOL_562;Today the servants found a newborn baby in a basket under the magical rose bush of my dryad lover!;Aujourd'hui, les servants ont trouvé un nouveau-né dans un panier sous le rosier magique de ma dryade chérie !;Heute fanden die Dienstboten ein Neugeborenes in einem Korb unter dem magischen Rosenbusch meiner Geliebten, der Dryade!;;¡Hoy los criados encontraron un bebé recién nacido en una cesta bajo el rosal mágico mi dríada amante!;;;;;;;;;x
EVTOPTA_WOL_562;Proclaim that little [target_baby.GetFirstName] is my [target_baby.GetSonDaughter]!;Déclarer que [target_baby.GetFirstName] est mon/ma [target_baby.GetSonDaughter] !;Verkündet, dass klein [target_baby.GetFirstName] mein/e [target_baby.GetSonDaughter] ist!;;¡Proclamo que el pequeño [target_baby.GetFirstName] es mi [target_baby.GetSonDaughter]!;;;;;;;;;x
EVTOPTB_WOL_562;[target_baby.GetFirstName] will be well cared for.;[target_baby.GetFirstName] ne sera jamais dans le besoin.;[target_baby.GetFirstName] wird es gut haben.;;[target_baby.GetFirstName] estará bien cuidado.;;;;;;;;;x
EVTDESC_WOL_570;The centaur beckons to me, massive muscles flexing. I have never seen anything more masculine in my life!;Le centaure fait appel à moi, et bande ses muscles pour une démonstration. Je n'ai jamais rien vu de plus masculin de toute ma vie !;Der Zentaur winkt und spannt seine enormen Muskeln an. Ich habe noch nie etwas so Männliches gesehen!;;El centauro me atrae la atención flexionando unos músculos masivos.¡Nunca he visto nada más masculino en mi vida!;;;;;;;;;x
EVTOPTA_WOL_570;I am overcome by his musky scent.;Son parfum musqué m'envoûte.;Sein Moschusduft überwältigt mich.;;Me vence su olor almizcleño.;;;;;;;;;x
EVTOPTB_WOL_570;Wait... a centaur? In our stables?!;Une seconde... un centaure ? Dans nos étables ?!;Moment mal... ein Zentaur? In unserem Stall?;;Espera... ¿un centauro? ¿En nuestros establos?;;;;;;;;;x
EVTTOOLTIP_WoL_571;You succumb to your desires.;Vous succombez à vos désirs.;Ihr gebt Eurer Lust nach.;;Sucumbes a tus deseos.;;;;;;;;;x
EVTDESC_WOL_571;I came to in a state of bliss, mind filled with foggy images of the stunningly handsome centaur and our night of passion.;J'ai repris mes esprits dans un état d'extase, ma tête remplie d'images floues du centaure avenant et de notre nuit de passion.;Ich erwachte im Zustand der Glückseligkeit, mein Kopf voller nebelhafter Bilder eines atemberaubend schönen Zentauren und unserer Nacht voller Leidenschaft.;;Llego a un estado de felicidad, con la mente llena de imágenes neblinosas sobre el centauro increíblemente hermoso y nuestra noche de pasión.;;;;;;;;;x
EVTOPTA_WOL_571;Will I ever see him again?;Pourrai-je le revoir un jour ?;Werde ich ihn jemals wiedersehen?;;¿Volveré a verle alguna vez?;;;;;;;;;x
EVTDESC_WOL_580;The misery of my captivity is only broken when I get to apply my charms on the gaoler. I can tell the ugly lout desires me... perhaps I can exploit his weakness to escape?;La misère de ma captivité est uniquement brisée quand j'ai la possibilité d'appliquer mes charmes sur le geôlier. Je peux bien voir que ce rustre laid me désire... peut-être puis-je exploiter cette faiblesse pour m'échapper ?;Das Elend meiner Gefangenschaft wird nur erträglich, wenn ich beim Kerkermeister meinen Charme spielen lasse. Es ist offensichtlich, dass dieser ungehobelte Kerl mich begehrt... vielleicht kann ich seine Schwäche zur Flucht nutzen?;;La miseria de mi cautiverio solo se rompe cuando aplico mis encantos en el carcelero. Puedo decir que ese patán feo me desea... ¿quizás pueda explotar su debilidad para escaparme?;;;;;;;;;x
EVTOPTA_WOL_580;Come here, handsome!';Venez ici, beauté !;Komm her, mein Hübscher!;;¡Ven aquí, guapo!;;;;;;;;;x
EVTOPTB_WOL_580;It is too risky.;C'est trop dangereux.;Das ist zu riskant.;;Es muy arriesgado.;;;;;;;;;x
EVTDESC_WOL_581;The gaoler unlocked the cell and entered, leering. As he started to fondle me, I suggested heading to a more romantic location. He burst out laughing, slapped me on the rump and left, snickering scornfully.;Le geôlier a déverrouillé la cellule avant d'entrer avec un regard lubrique. Alors qu'il commençait à me caresser, j'ai pris soin de suggérer un emplacement plus romantique. En réponse, il a ri aux éclats et giflé mon derrière avant de quitter la cellule avec un rire moqueur.;Der Kerkermeister sperrte die Zelle auf und betrat sie mit lüsternem Blick. Als er begann, mich anzufassen, schlug ich vor, dass wir eine romantischere Umgebung aufsuchen sollten. Er lachte laut auf, gab mir einen Klaps auf den Hintern und verließ die Zelle unter verächtlichem Kichern.;;El carcelero abrió la celda y entró, mirándome lascivamente. Mientras comienza a acariciarme, le sugiero ir a un lugar más romántico. Se echó a reír, me dio una palmada en el trasero y se fue, con risitas de desprecio.;;;;;;;;;x
EVTOPTA_WOL_581;I am sure his [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], will hear of this...;Il est certain que son/sa [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], entendra parler de ceci...;Sicherlich wird sein/e [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], davon erfahren...;;Estoy seguro de que su [Root.Host.GetMasterMistress], [Root.Host.GetTitledFirstNameNoRegnal], se enterará de esto...;;;;;;;;;x
