#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
DYN1_DESC;With a score of $SCORE$ you$FAILED$ beat House Royall, Emperors of the Holy Columbian Confederacy.;;;;;;;;;;;;;x
DYN12_DESC;With a score of $SCORE$ you$FAILED$ beat House;;;;;;;;;;;;;x
DYN13_DESC;With a score of $SCORE$ you$FAILED$ beat House Mahonic, Kings of New England. Vincent Mahonic was a mighty warrior, whose great strength allowed him to unite the Occultist tribes of New England into one kingdom. Not content with this, he spent his life forging a realm that stretched from Buffalo to New Brunswick, and although he never advanced further, he earned a reputation even in old age as one of the most feared men in the Northeast. Though the kingdom itself survived past his murder by political rivals while on campaign against Quebec, its good fortunes did not; the reign of Keziah Mahonic started with promise but was plagued with revolts and invasions, culminating with him having lost the entire state of New York to Ellis Rodham's armies by 2381, which prompted him to throw himself into the sea. Keziah's heirs ruled in relative peace until 2459, when Zadok Mahonic, incensed by the breakaway of New Brunswick and Miramichi, called together the largest Occultist horde since Vincent's days and vowed to reconquer all the lost territory, starting with neighboring Hudsonia; instead, his army was smashed at the Battle of Saratoga Springs, where Zadok was slain in a mad charge against Norton Rodham, having attempted to take the king's head only to fall in single combat against one of Norton's personal guard. Heirless, Zadok's death spelled the end of his dynasty and his kingdom, which had collapsed back into warring tribes by 2500.;;;;;;;;;;;;;x
DYN14_DESC;With a score of $SCORE$ you$FAILED$ beat House Castel of Quebec.;;;;;;;;;;;;;x
DYN15_DESC;With a score of $SCORE$ you$FAILED$ beat House Soady. One of the greatest Viking raiders of America, Albert Soady embarked from Marquette with hundreds of longships for a great circular voyage down the Mississippi and up the East Coast, exacting tribute from or pillaging every city along the way and sacrificing hundreds, including President Anatol Avondale, to Odin. He returned home with mountains of gold and united all the Jarls of Superior under his reign, but the kingdom did not last long after his death. His lands were divided between his children, and with none of them powerful enough to hold on to the crown, the Kingdom of Superior became a historical footnote.;;;;;;;;;;;;;x
NAME_W_NICK;$TITLE$ $NAME$ $NICK$;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
TITLED_NAME_W_NICK;$TITLE$ $NAME$ $NICK$ of $HOLDING$;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;$TITLE$ $NAME$ '$NICK$' von $HOLDING$;;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;;;;;;;;;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from New York to California.;Vos méfaits sont connus depuis l’New York jusqu’à Californie.;Von Euren Missetaten erzählt man sich von New York bis Kalifornien!;;Se cuentan historias de tus fechorías desde Nueva York hasta California.;;;;;;;;;x
DIPLOFLAVOR_INSULT_1;Your low character is the subject of Old World plays.;Votre bassesse est telle qu’elle a inspiré des pièces de théâtre ancien monde !;Euer niederer Charakter ist Mittelpunkt alte welt Theaterstücke!;;Tu escaso carácter es el tema de las obras de teatro viejo mundo.;;;;;;;;;x
EVTDESC4155;A troubadour and his wife the trobairitz has arrived from Appalachia. Their performances range from vulgar satires to political sirventes and everything in between, including songs and poems of courtly love.;Un troubadour et sa femme sont arrivés d’Appalachie. Leurs talents vont de la vulgaire satire aux sirventes politiques, en passant par le chant et les poèmes d’amour courtois.;Ein Troubadour und seine Frau, eine Trobairitz, sind aus Okzitanien angekommen. Ihre Vorträge umfassen das gesamte Spektrum von vulgären bis zu politischen Sirventes, einschließlich Liedern und Gedichten über höfische Liebe.;;Ha llegado de Appalachia un matrimonio de trovadores. Sus interpretaciones van desde vulgares sátiras hasta poemas de crítica política, aparte de todo lo que hay en medio, sin olvidar canciones y poemas de amor cortés.;;;;;;;;;x
SIR;Sir;Seigneur;Herr;;Maestro;;;;;;;;;x
SIR_FOA;Sir;Seigneur;Herr Ritter;;Maestro;;;;;;;;;x
DON;Don;Capitaine;Hauptmann;;Capitán;;;;;;;;;x
DON_FOA;Don;Capitaine;Hauptmann;;Capitán;;;;;;;;;x
CAMPEON;Campéon;Campéon;Campéon;;Campéon;;;;;;;;;x
CAMPEON_FOA;Campéon;Campéon;Campéon;;Campéon;;;;;;;;;x
MAPMODE_DUCHIES_DESC;This map mode shows all the geographical and traditional ('de jure') duchies of the Americas.;Ce mode de carte affiche tous les duchés géographiques et traditionnels (de Jure) les Amériques.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Herzogtümer Amerika.;;Este modo de mapa muestra todos los ducados geográficos y tradicionales (de iure) de las Américas.;;;;;;;;;x
MAPMODE_KINGDOMS_DESC;This map mode shows all the geographical and traditional ('de jure') kingdoms of the Americas.;Ce mode de carte affiche tous les royaumes géographiques et traditionnels (de Jure) les Amériques.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Königreiche Amerika.;;Este modo de mapa muestra todos los reinos geográficos y tradicionales (de iure) de las Américas.;;;;;;;;;x
MAPMODE_EMPIRES_DESC;This map mode shows all the geographical and traditional ('de jure') empires of the Americas.;Ce mode de carte affiche tous les royaumes géographiques et traditionnels (de Jure) les Amériques.;Dieser Kartenmodus zeigt alle geografischen und traditionellen (rechtmäßigen) Königreiche Amerika.;;Este modo de mapa muestra todos los reinos geográficos y tradicionales (de iure) de las Américas.;;;;;;;;;x
ARRANGE_MARRIAGE_DESC;Arrange a marriage with one of the most eligible potential spouses in America.;Arrangez un mariage avec une des personnes les plus en vue d’Etats-unis.;Arrangiert eine Heirat mit einer der meistumworbenen unverheirateten Personen Vereinigte Staaten.;;Concierta un matrimonio con uno de los cónyuges más aptos de Estados Unidos.;;;;;;;;;x
ARRANGE_BETROTHAL_DESC;Arrange a betrothal with one of the most eligible potential spouses in America.;Arrangez des fiançailles avec une des personnes les plus en vue d’Etats-unis.;Arrangiert ein Verlöbnis mit einer der meistumworbenen unverheirateten Personen Vereinigte Staaten.;;Concierta esponsales con uno de los cónyuges más aptos de Estados Unidos.;;;;;;;;;x
BM_THE_OLD_GODS;Southern Knights;;;;;;;;;;;;;x
BM_THE_OLD_GODS_DESC;The American South has managed to reconstruct itself modestly enough. Core portions of what was once known as the 'Deep South' were reunited centuries ago, and this empire, being one of the strongest realms east of the Mississippi, has taken to styling itself as the legitimate successor to Old America. Can its wildest ambitions ever match up with reality? What of the Southern dukes and counts who refuse to bend knee?;;;;;;;;;;;;;x
EVTDESC200;[Root.GetHerHisCap] Holiness, [Root.GetTitledFirstName], has been swayed by the cries for help from the Christian population in the [From.GetFullName]. [Root.GetSheHeCap] urges all able-bodied men of America to take up arms against the evil [New.GetTitledName] in order to secure [From.GetName] from the clutches of the [New.Religion.GetName] infidels.\n\n God will grant the pilgrims remission of sins in Heaven!;Sa Sainteté [Root.GetTitledFirstName], émue par les appels à l’aide des chrétiens de [From.GetFullName], appelle tous les hommes valides d’Europe à prendre les armes contre le méchant [New.GetTitledName] afin de protéger [From.GetName] des griffes des mahométans impies.\n\n Dieu accordera aux pèlerins le pardon de leur péchés et la vie éternelle !;Seine Heiligkeit, [Root.GetTitledFirstName], ist von den Hilferufen der christlichen Bevölkerung von [From.GetFullName] überzeugt worden. Er ruft alle tauglichen Männer Europas auf, ihre Waffen gegen die bösartigen [New.GetTitledName] zu erheben, um [From.GetName] aus den Fängen der mohammedanischen Ungläubigen zu befreien.\n\n Gott wird den Pilgern dafür ihre Sünden erlassen.;;Su Santidad, [Root.GetTitledFirstName], ha sido sacudido por los gritos de auxilio de la población Cristiana en el [From.GetFullName]. Se insta a todos los hombres sanos de Europa a tomar las armas en contra de los malvados [New.GetTitledName] con el fin de rescatar a [From.GetName] de las garras de los infieles Mahometanos.\n\n ¡Dios concederá a los peregrinos la remisión de sus pecados en el Cielo!;;;;;;;;;x
EVTDESC201;[Root.GetHerHisCap] Holiness, [Root.GetTitledFirstName], is worried about the state of the souls in the [From.GetFullBaseName]. The heathens under [New.GetTitledName] have no hope for salvation and will suffer the eternal fires unless they can be brought to Christ in this life. Any Christian so willing is offered complete absolution of sins in the armed mission against the [New.Religion.GetName] barbarians!;Sa Sainteté [Root.GetTitledFirstName] s'inquiète du salut des âmes au [From.GetFullBaseName]. Les païens aux ordres de [New.GetTitledName] n'ont aucun espoir de salut et connaîtront la damnation éternelle, à moins qu'ils s'en remettent au Christ dans cette vie. Tout chrétien faisant preuve de bonne volonté recevra l’absolution totale de ses péchés en participant à la mission armée contre les barbares [New.Religion.GetName] !;Seine Heiligkeit, [Root.GetTitledFirstName], ist über den Seelenzustand von [From.GetFullBaseName] besorgt. Die Heiden unter [New.GetTitledName] haben keine Hoffnung auf Erlösung und werden im ewigen Feuer leiden, außer sie können in diesem Leben zu Christus gebracht werden. Jedem Christ wird vollständige Absolution der Sünden in der bewaffneten Mission gegen die [New.Religion.GetName] Barbaren angeboten!;;Su Santidad, [Root.GetTitledFirstName], está preocupado por el estado de las almas en el [From.GetFullBaseName]. Los paganos en [New.GetTitledName] no tienen esperanza en la salvación y sufrirán el fuego eterno a menos que puedan ser llevados a Cristo en esta vida. ¡Se ofrece la absolución total de culpas a cualquier Cristiano dispuesto en la misión armada contra los bárbaros [New.Religion.GetName]!;;;;;;;;;x
EVTDESC321;The [From.GetFullBaseName] is afflicted with the scourge of Heresy. [Root.GetHerHisCap] Holiness, [Root.GetTitledFirstName], has decided that the impure [New.GetTitledName] and [New.GetPossPronoun] fallen followers must be Cleansed before this black stain spreads any further!;Le fléau de l'hérésie afflige [From.GetFullBaseName]. Sa Sainteté [Root.GetTitledFirstName] a décidé que [New.GetTitledName] et ses partisans déchus, ces impurs, doivent être purifiés avant que cette tache hérétique se répande à toute la contrée !;[From.GetFullBaseName] wird von einer Welle der Ketzerei heimgesucht. Seine Heiligkeit, [Root.GetTitledFirstName], hat beschlossen, dass der unreine [New.GetTitledName] und [New.GetPossPronoun] gefallenes Gefolge gereinigt werden müssen, bevor dieser dunkle Schmutz weiter Verbreitung findet!;;El [From.GetFullBaseName] está afectado por la plaga de la Herejía. Su Santidad, [Root.GetTitledFirstName], ha decidido que los impuros [New.GetTitledName] y [New.GetPossPronoun] adeptos caídos deben ser Limpiados antes de que esta mancha negra se extienda más!;;;;;;;;;x
BM_CHARLEMAGNE;Indian Country;;;;;;;;;;;;;x
PICK_YOUR_STARTING_ERA;Choose Your Starting Region;;;;;;;;;;;;;x;;
PICK_STARTING_ERA_TEXT;After The End covers a large chunk of North and Central America. Choose where on the map you want your game to start.;;;;;;;;;;;;;x;;
ant Saint-Empire romain tandis que les rois chrétiens gagnent du terrain sur une Espagne musulmane divisée et affaiblie. La Scandinavie se convertit rapidement au christianisme, tandis que les colons nordiques installés en Russie et en Bretagne s'assimilent aux populations locales. Cependant, les descendants des Vikings implantés en Normandie et en Italie se préparent à de nouvelles conquêtes, et le temps de la première croisade approche...;Im späten 10. und frühen 11. Jh. änderten sich die Machtverhältnisse der muslimischen Welt, als türkische Dynastien wie die Seldschuken und Ghaznaviden die Vorherrschaft in Persien übernahmen. Das Byzantinische Reich bestand fort, doch ihm sollten schlimme Zeiten bevorstehen. Frankreich und das Heilige Römische Reich teilten sich die Herrschaft über den Westen und die Mitte des europäischen Festlandes, während christliche Könige gegen ein ungeeintes und geschwächtes muslimisches Spanien vorrückten. In Skandinavien breitete sich das Christentum schnell aus und die Wikinger, die sich in Russland und auf der Britischen Insel niedergelassen hatten, wurden von der dortigen Bevölkerung assimiliert. Ihre Nachkommen jedoch, in der Normandie und in Italien, rüsteten sich für neue Eroberungszüge und das Zeitalter der Kreuzzüge nahte...;;A finales del siglo X y comienzos del XI, el mundo musulmán cambió, con dinastías turcas como los selijúcidas y los gaznávidas ahora dominando Persia. El Imperio bizantino aún se mantenía pero se le acercaban tiempos difíciles. La Europa continental central y occidental estaba escindida entre Francia y un fuerte Sacro Imperio Romano, mientras que los reyes cristianos avanzaban ante una debilitada y fracturada España musulmana. Escandinavia pronto se convirtió a la cristiandad y los colonos nórdicos en Rusia y Bretaña fueron integrados a las poblaciones locales. Además, los descendientes de los vikingos en Normandía e Italia se preparaban para nuevas conquistas, y se acercaba el momento de la Primera Cruzada... ;;;;;;;;;x;;
BM_BM_CHARLEMAGNE_DESC;The mass destruction of the Old World was, in many ways, a godsend for the Indians of Old America. With the governments that once oppressed them destroyed, the Native Americans were free of the reservation system, and began expanding outwards once more. Unlike the days before the Indian Wars however, these revitalized nations are now a minority in their own lands, and have had to compromise their rule with Anglo-American vassals and acknowledgement of the Papacy in New Rome. In such a state, can the Indians survive in this new world?;;;;;;;;;;;;;x
